x;y;z;E;n
-55;-5;15;1;2
-55;-2;16;1;2
-55;0;17;1;12
-55;1;15;1;1
-55;1;16;1;1
-55;3;15;0;0
-55;6;16;1;4
-55;7;15;1;8
-55;8;15;1;6
-54;-11;15;0;0
-54;-11;16;0;0
-54;-10;15;0;0
-54;-9;17;1;3
-54;-8;17;1;6
-54;-6;16;1;5
-54;-5;15;1;1
-54;-5;19;1;5
-54;-4;15;0;0
-54;-4;18;1;1
-54;-3;19;1;1
-54;-1;15;1;1
-54;-1;16;1;1
-54;-1;19;1;4
-54;-1;20;0;0
-54;0;18;1;5
-54;0;20;1;5
-54;1;16;1;1
-54;1;18;1;4
-54;2;15;1;2
-54;2;16;1;2
-54;2;18;0;0
-54;3;16;0;0
-54;4;17;0;0
-54;4;19;0;0
-54;5;15;0;0
-54;5;17;0;0
-54;6;18;1;3
-54;7;15;1;4
-54;7;18;0;0
-54;8;15;1;2
-54;12;16;0;0
-53;-16;15;0;0
-53;-15;15;0;0
-53;-14;17;1;4
-53;-13;15;1;2
-53;-13;17;0;0
-53;-12;18;1;1
-53;-11;16;0;0
-53;-11;19;0;0
-53;-10;15;0;0
-53;-10;16;0;0
-53;-10;18;0;0
-53;-9;19;0;0
-53;-9;20;0;0
-53;-8;15;1;2
-53;-8;16;1;2
-53;-8;17;1;1
-53;-8;18;0;0
-53;-8;19;0;0
-53;-8;20;0;0
-53;-7;15;1;1
-53;-7;18;1;4
-53;-7;19;1;1
-53;-7;20;0;0
-53;-7;21;0;0
-53;-6;17;1;3
-53;-6;19;1;2
-53;-5;15;0;0
-53;-5;17;1;1
-53;-5;18;0;0
-53;-5;20;1;4
-53;-4;15;1;7
-53;-4;18;1;4
-53;-4;19;1;1
-53;-4;22;0;0
-53;-3;15;1;1
-53;-3;19;1;1
-53;-3;22;0;0
-53;-2;15;0;0
-53;-2;18;0;0
-53;-1;15;0;0
-53;-1;18;0;0
-53;-1;19;1;3
-53;-1;21;1;1
-53;-1;22;0;0
-53;0;18;1;5
-53;0;20;0;0
-53;0;21;0;0
-53;1;16;1;4
-53;1;17;0;0
-53;1;20;0;0
-53;2;15;0;0
-53;2;18;0;0
-53;2;20;0;0
-53;2;21;0;0
-53;3;16;0;0
-53;3;17;0;0
-53;3;19;0;0
-53;3;22;0;0
-53;4;17;0;0
-53;4;19;0;0
-53;4;21;1;1
-53;4;22;0;0
-53;5;17;1;7
-53;5;21;1;3
-53;6;15;1;3
-53;6;16;1;1
-53;6;18;0;0
-53;6;19;0;0
-53;6;20;0;0
-53;6;21;0;0
-53;7;15;0;0
-53;7;16;1;1
-53;7;18;0;0
-53;7;19;0;0
-53;8;15;1;2
-53;8;16;1;1
-53;8;17;1;4
-53;8;18;0;0
-53;8;19;0;0
-53;8;20;0;0
-53;8;21;0;0
-53;9;15;1;1
-53;9;17;0;0
-53;9;20;0;0
-53;10;19;1;1
-53;11;15;1;1
-53;11;16;0;0
-53;12;17;0;0
-53;12;18;0;0
-53;13;15;0;0
-53;13;16;0;0
-53;15;15;0;0
-53;15;16;1;1
-53;16;15;0;0
-52;-18;15;0;0
-52;-17;15;0;0
-52;-17;16;0;0
-52;-16;18;1;1
-52;-15;16;0;0
-52;-15;19;0;0
-52;-14;18;0;0
-52;-13;20;0;0
-52;-12;18;1;5
-52;-12;19;0;0
-52;-11;17;0;0
-52;-11;20;0;0
-52;-11;21;0;0
-52;-10;15;0;0
-52;-10;17;0;0
-52;-10;18;0;0
-52;-9;15;1;4
-52;-9;17;1;3
-52;-9;20;0;0
-52;-9;22;0;0
-52;-9;23;1;1
-52;-8;16;0;0
-52;-8;17;0;0
-52;-8;19;1;3
-52;-8;20;0;0
-52;-7;15;0;0
-52;-7;17;0;0
-52;-7;18;1;1
-52;-7;21;0;0
-52;-6;16;1;1
-52;-6;18;0;0
-52;-6;20;1;5
-52;-6;22;1;1
-52;-6;24;0;0
-52;-5;15;1;10
-52;-5;17;0;0
-52;-5;19;0;0
-52;-5;24;1;1
-52;-4;15;1;4
-52;-4;20;0;0
-52;-4;22;0;0
-52;-4;24;1;3
-52;-3;14;0;0
-52;-3;17;0;0
-52;-3;18;0;0
-52;-3;21;1;1
-52;-3;22;0;0
-52;-2;14;0;0
-52;-2;19;1;2
-52;-2;20;0;0
-52;-2;22;0;0
-52;-1;15;0;0
-52;-1;17;0;0
-52;-1;23;1;1
-52;0;14;1;6
-52;0;21;1;2
-52;1;16;0;0
-52;1;17;1;4
-52;1;20;0;0
-52;1;21;1;2
-52;1;24;0;0
-52;2;15;1;3
-52;2;17;1;1
-52;2;19;0;0
-52;2;20;0;0
-52;2;21;1;2
-52;3;14;0;0
-52;3;17;0;0
-52;3;19;0;0
-52;3;23;1;1
-52;4;14;0;0
-52;4;16;0;0
-52;4;19;0;0
-52;5;14;1;18
-52;5;17;1;8
-52;5;18;1;2
-52;5;19;0;0
-52;6;18;0;0
-52;6;19;0;0
-52;6;20;0;0
-52;6;21;0;0
-52;6;22;1;1
-52;7;15;1;1
-52;7;16;0;0
-52;7;17;1;2
-52;7;19;0;0
-52;7;22;0;0
-52;8;20;0;0
-52;8;21;0;0
-52;8;22;0;0
-52;8;23;0;0
-52;9;18;0;0
-52;9;20;0;0
-52;9;22;0;0
-52;9;23;0;0
-52;10;17;0;0
-52;10;22;0;0
-52;11;15;0;0
-52;11;17;0;0
-52;11;18;1;1
-52;11;22;1;1
-52;12;16;0;0
-52;12;17;1;2
-52;12;18;0;0
-52;12;20;0;0
-52;13;17;0;0
-52;13;21;0;0
-52;14;15;1;4
-52;14;16;1;3
-52;14;19;0;0
-52;14;20;0;0
-52;15;18;0;0
-52;15;19;0;0
-52;16;15;0;0
-52;17;16;0;0
-52;18;15;0;0
-52;18;16;0;0
-52;19;15;0;0
-51;-21;16;0;0
-51;-20;16;0;0
-51;-20;17;1;5
-51;-19;15;0;0
-51;-19;17;1;4
-51;-18;15;0;0
-51;-18;18;1;1
-51;-18;19;1;2
-51;-17;16;0;0
-51;-17;19;1;4
-51;-16;15;1;2
-51;-16;19;1;3
-51;-16;21;0;0
-51;-15;15;0;0
-51;-15;16;0;0
-51;-15;19;1;3
-51;-15;22;1;5
-51;-14;16;0;0
-51;-14;18;0;0
-51;-14;19;1;1
-51;-14;21;0;0
-51;-13;16;1;2
-51;-13;18;1;7
-51;-13;19;1;4
-51;-13;23;0;0
-51;-12;16;0;0
-51;-12;18;1;8
-51;-12;19;0;0
-51;-12;20;0;0
-51;-12;22;0;0
-51;-11;15;0;0
-51;-11;24;0;0
-51;-10;14;1;1
-51;-10;15;0;0
-51;-10;16;1;6
-51;-10;17;1;12
-51;-10;21;0;0
-51;-10;23;0;0
-51;-10;24;0;0
-51;-9;15;0;0
-51;-9;16;1;3
-51;-9;17;1;1
-51;-9;23;0;0
-51;-9;24;0;0
-51;-8;14;0;0
-51;-8;15;1;2
-51;-8;17;1;3
-51;-8;21;0;0
-51;-8;24;0;0
-51;-7;17;1;1
-51;-7;18;1;3
-51;-7;20;1;1
-51;-7;22;0;0
-51;-7;23;1;2
-51;-6;15;1;10
-51;-6;16;1;9
-51;-6;18;1;2
-51;-6;19;1;1
-51;-6;22;0;0
-51;-6;23;1;3
-51;-6;24;1;1
-51;-6;25;1;3
-51;-6;26;1;5
