x;y;z;E;n
-14;-19;42;0;1
-34;-10;28;0;1
-14;13;34;1;1
-22;-30;27;1;1
-23;10;34;1;1
-35;-3;17;0;1
-14;11;15;1;1
-17;11;24;0;1
-31;24;28;1;1
-20;-22;14;1;1
-17;19;25;0;1
-18;-4;24;0;1
-46;-15;22;1;1
-36;-6;14;1;1
-16;8;19;1;1
-22;-10;48;0;1
-14;-8;8;0;1
-22;13;14;0;1
-18;7;43;1;1
-15;8;22;0;1
-9;14;6;0;1
-30;18;24;0;1
-41;0;29;0;1
-48;9;19;0;1
-29;-4;34;1;1
-25;2;42;0;1
-26;-6;37;0;1
-12;-15;11;0;1
-32;4;21;1;1
-20;-25;20;0;1
-24;17;28;1;1
-44;3;26;0;1
-14;15;44;0;1
-35;4;28;1;1
-36;35;14;1;1
-16;12;35;0;1
-29;-24;36;1;1
-34;18;31;1;1
-32;31;22;0;1
-16;4;28;0;1
-34;-23;32;1;1
-44;-4;22;1;1
-45;13;22;1;1
-22;5;35;1;1
-15;-3;29;0;1
-41;-20;18;1;1
-17;-3;23;1;1
-20;8;44;1;1
-11;-6;31;0;1
-34;-1;15;1;1
-18;13;18;1;1
-35;-3;10;1;1
-13;-11;38;0;1
-19;-7;47;0;1
-50;-9;17;0;1
-24;-34;21;0;1
-38;13;26;1;1
-14;-10;33;1;1
-34;23;12;0;1
-41;-11;23;1;1
-19;6;35;1;1
-10;-1;23;0;1
-25;27;16;1;1
-21;-25;39;1;1
-38;-30;22;0;1
-18;3;49;0;1
-15;17;39;1;1
-16;-17;37;1;1
-8;-5;16;1;1
-6;5;14;0;1
-33;5;36;1;1
-21;-13;28;0;1
-30;-9;14;1;1
-12;13;28;1;1
-21;-17;11;0;1
-11;-19;28;1;1
-31;9;11;0;1
-26;-21;11;0;1
-37;2;26;0;1
-32;34;22;0;1
-19;-21;23;1;1
-18;16;41;0;1
-9;-10;32;1;1
-43;10;16;1;1
-13;-5;35;0;1
-29;-37;19;1;1
-38;9;33;0;1
-36;-19;11;1;1
-35;0;22;0;1
-21;9;39;0;1
-20;6;16;0;1
-26;14;22;1;1
-6;10;32;1;1
-34;-30;13;0;1
-40;3;33;1;1
-33;-2;15;1;1
-25;23;38;1;1
-28;-18;11;0;1
-25;-22;21;0;1
-40;-19;26;0;1
-35;20;33;0;1
-9;-9;25;0;1
-19;-31;37;0;1
-11;4;13;0;1
-10;14;19;0;1
-39;20;16;0;1
-15;15;10;0;1
-10;8;22;0;1
-41;-11;24;1;1
-42;-24;13;1;1
-34;-25;34;0;1
-20;-22;21;1;1
-19;-5;9;0;1
-11;-18;24;1;1
-29;-13;13;1;1
-10;-17;20;0;1
-8;12;27;1;1
-26;-12;8;1;1
-19;11;24;0;1
-18;15;8;1;1
-22;13;46;0;1
-20;9;45;1;1
-22;-2;49;1;1
-30;-29;22;0;1
-31;-12;22;1;1
-18;22;46;0;1
-21;-10;8;1;1
-39;13;12;1;1
-16;18;17;0;1
-28;-15;21;0;1
-27;-31;12;1;1
-13;19;7;1;1
-10;-6;26;0;1
-42;-8;18;0;1
-41;7;23;0;1
-19;20;23;1;1
-42;-19;13;0;1
-46;8;25;0;1
-41;13;28;0;1
-17;-17;22;1;1
-26;43;20;1;1
-36;-18;31;0;1
-40;-19;22;1;1
-38;15;30;1;1
-27;17;35;0;1
-47;2;13;1;1
-18;-11;6;0;1
-43;10;26;1;1
-15;-12;38;0;1
-38;15;12;1;1
