x;y;z;E;n
-17;11;36;1;1
-34;12;24;0;0
-16;-14;35;0;0
-24;-7;27;1;1
-24;-34;20;1;2
-34;-18;22;1;20
-16;-17;32;0;0
-19;-5;38;1;19
-31;-8;20;1;6
-22;-20;31;1;3
-19;5;44;0;0
-20;-18;27;0;0
-42;-7;14;1;1
-35;-4;19;0;0
-18;-15;41;1;2
-24;13;38;0;0
-17;23;36;1;5
-24;35;14;1;1
-20;-4;41;1;2
-17;-19;37;0;0
-11;-12;35;0;0
-30;-25;16;1;2
-38;-22;13;1;16
-43;-5;17;1;1
-30;8;33;1;4
-26;-25;17;1;9
-27;-24;10;1;8
-15;8;32;0;0
-32;-7;20;1;2
-22;-22;22;0;0
-25;-21;35;1;21
-40;-22;14;1;2
-16;-11;36;0;0
-34;-13;21;0;0
-35;15;24;0;0
-18;-9;37;1;7
-30;-8;35;1;1
-33;-22;14;1;13
-32;9;30;0;0
-18;-19;32;1;1
-34;5;33;1;1
-41;13;15;1;1
-41;-2;23;0;0
-24;27;22;0;0
-17;-28;15;0;0
-39;9;17;0;0
-19;-22;33;1;7
-22;16;38;0;0
-14;16;41;0;0
-34;18;19;0;0
-20;4;32;0;0
-34;-18;19;1;5
-16;17;30;1;5
-21;-13;33;0;0
-45;-1;13;0;0
-26;8;28;0;0
-36;-10;29;1;1
-17;22;28;0;0
-33;-19;11;1;1
-39;14;20;1;1
-21;3;40;0;0
-13;18;40;1;2
-26;-5;33;0;0
-23;-12;30;1;5
-37;12;17;1;2
-20;-9;37;1;7
-17;-7;43;0;0
-19;27;18;0;0
-11;15;42;0;0
-9;14;35;1;3
-33;8;31;0;0
-23;0;38;0;0
-31;15;21;1;1
-14;-17;37;1;11
-23;-5;35;0;0
-14;-6;40;0;0
-31;-18;28;0;0
-28;29;17;0;0
-36;15;15;0;0
-32;10;30;1;8
-21;-27;15;1;2
-20;8;37;0;0
-12;13;44;0;0
-40;10;17;0;0
-16;23;25;1;5
-30;-14;24;1;1
-36;-12;25;0;0
-35;-11;21;1;1
-34;-16;29;1;8
-23;25;15;1;4
-22;13;34;1;7
-27;-8;32;0;0
-8;-12;36;0;0
-34;3;12;1;9
-38;11;13;1;1
-33;3;31;0;0
-26;-8;37;1;2
-29;-16;30;0;0
-27;22;21;0;0
-38;-2;24;0;0
-34;-4;18;0;0
-12;14;39;0;0
-21;-34;16;0;0
-14;22;27;0;0
-12;-14;36;0;0
-37;7;11;1;1
-17;-10;32;1;3
-12;-20;32;0;0
-39;14;19;1;3
-39;-23;14;0;0
-34;5;17;1;4
-22;-20;29;1;4
-21;-12;39;0;0
-14;-4;39;0;0
-30;0;34;1;7
-13;-8;39;0;0
-10;-14;42;0;0
-27;-31;24;1;3
-21;9;39;0;0
-20;6;33;0;0
-24;35;22;1;1
-22;17;35;1;1
-24;21;30;0;0
-31;2;36;0;0
-32;25;23;0;0
-20;15;34;1;4
-23;3;36;1;3
-37;3;22;1;3
-18;-2;41;0;0
-29;-13;18;1;2
-29;32;14;0;0
-15;-8;34;1;2
-13;15;44;0;0
-39;-12;23;0;0
-38;-16;19;0;0
-21;19;33;0;0
-39;-19;14;1;2
-42;5;22;1;4
-38;-12;18;1;1
-20;32;22;1;7
-27;11;37;0;0
-35;-10;20;0;0
-38;-2;25;0;0
-36;-8;14;1;1
-28;5;26;0;0
-43;10;16;0;0
-20;-26;21;1;21
-40;10;21;0;0
-18;25;30;0;0
-36;-9;28;0;0
-33;18;16;1;1
-40;7;16;0;0
