x;y;z;E;n
-21;0;36;1;1
-41;0;11;1;1
-34;0;28;1;1
-35;0;24;1;1
-38;0;23;1;1
-30;0;30;1;1
-21;0;30;1;1
-26;0;15;1;1
-24;0;29;1;1
-22;0;28;1;1
-38;0;26;1;1
-31;0;35;1;1
-20;0;32;1;1
-17;0;24;1;1
-21;0;25;1;1
-31;0;29;1;1
-18;0;32;1;1
-20;0;18;1;1
-17;0;26;1;1
-41;0;22;1;1
-17;0;22;1;1
-16;0;23;1;1
-18;0;31;1;1
-30;0;12;1;1
-20;0;34;1;1
-28;0;25;1;1
-15;0;27;1;1
-21;0;25;1;1
-27;0;35;1;1
-24;0;28;1;1
-41;0;22;1;1
-17;0;24;1;1
-38;0;24;1;1
-18;0;32;1;1
-22;0;21;1;1
-23;0;18;1;1
-22;0;21;1;1
-17;0;24;1;1
-38;0;26;1;1
-20;0;32;1;1
-37;0;27;1;1
-25;0;28;1;1
-37;0;26;1;1
-33;0;11;1;1
-16;0;24;1;1
-16;0;26;1;1
-28;0;16;1;1
-20;0;35;1;1
-30;0;35;1;1
-13;0;25;1;1
-17;0;24;1;1
-18;0;30;1;1
-37;0;15;1;1
-25;0;31;1;1
-20;0;32;1;1
-30;0;22;1;1
-25;0;28;1;1
-18;0;31;1;1
-18;0;32;1;1
-26;0;40;1;1
-34;0;18;1;1
-30;0;35;1;1
-13;0;33;1;1
-43;0;18;1;1
-30;0;20;1;1
-28;0;37;1;1
-29;0;36;1;1
-29;0;35;1;1
-20;0;27;1;1
-31;0;29;1;1
-30;0;28;1;1
-22;0;29;1;1
-26;0;11;1;1
-20;0;32;1;1
-18;0;33;1;1
-31;0;29;1;1
-18;0;31;1;1
-17;0;31;1;1
-18;0;33;1;1
-43;0;13;1;1
-25;0;15;1;1
-33;0;30;1;1
-39;0;15;1;1
-27;0;27;1;1
-19;0;23;1;1
-33;0;29;1;1
-22;0;19;1;1
-22;0;28;1;1
-13;0;26;1;1
-23;0;21;1;1
-35;0;18;1;1
-23;0;21;1;1
-29;0;36;1;1
-31;0;35;1;1
-27;0;12;1;1
-29;0;21;1;1
-26;0;29;1;1
-23;0;21;1;1
-16;0;23;1;1
-20;0;32;1;1
-17;0;32;1;1
-30;0;19;1;1
-18;0;32;1;1
-18;0;32;1;1
-35;0;19;1;1
-15;0;27;1;1
-38;0;24;1;1
-37;0;11;1;1
-30;0;29;1;1
-29;0;21;1;1
-24;0;17;1;1
-29;0;21;1;1
-22;0;29;1;1
-30;0;35;1;1
-23;0;20;1;1
-35;0;19;1;1
-35;0;18;1;1
-20;0;31;1;1
-34;0;14;1;1
-46;0;14;1;1
-22;0;20;1;1
-26;0;28;1;1
-38;0;23;1;1
-27;0;12;1;1
-17;0;24;1;1
-41;0;21;1;1
-39;0;22;1;1
-18;0;33;1;1
-29;0;15;1;1
-22;0;28;1;1
-39;0;15;1;1
-26;0;33;1;1
-40;0;15;1;1
-18;0;33;1;1
-39;0;15;1;1
-17;0;24;1;1
-36;0;12;1;1
-19;0;23;1;1
-30;0;12;1;1
-30;0;29;1;1
-14;0;26;1;1
-29;0;10;1;1
-28;0;36;1;1
-22;0;30;1;1
-38;0;24;1;1
-30;0;34;1;1
-29;0;21;1;1
-30;0;32;1;1
-39;0;14;1;1
-18;0;24;1;1
-28;0;9;1;1
-30;0;35;1;1
-21;0;31;1;1
-18;0;27;1;1
-30;0;31;1;1
-22;0;29;1;1
-40;0;21;1;1
-29;0;37;1;1
-22;0;28;1;1
-41;0;22;1;1
-22;0;20;1;1
-23;0;21;1;1
-40;0;22;1;1
-31;0;29;1;1
-29;0;23;1;1
-29;0;21;1;1
-31;0;29;1;1
-18;0;41;1;1
-30;0;35;1;1
-27;0;12;1;1
-20;0;27;1;1
-13;0;30;1;1
-20;0;32;1;1
-20;0;32;1;1
-27;0;27;1;1
-36;0;12;1;1
-34;0;28;1;1
-37;0;15;1;1
-23;0;21;1;1
-23;0;21;1;1
-23;0;20;1;1
-21;0;32;1;1
-29;0;22;1;1
-29;0;18;1;1
-36;0;28;1;1
-22;0;28;1;1
-41;0;19;1;1
-23;0;21;1;1
-17;0;24;1;1
-39;0;15;1;1
-40;0;13;1;1
-23;0;21;1;1
-15;0;26;1;1
-40;0;21;1;1
-20;0;19;1;1
-25;0;28;1;1
-37;0;13;1;1
-17;0;42;1;1
-29;0;37;1;1
-26;0;13;1;1
-37;0;16;1;1
-29;0;23;1;1
-29;0;18;1;1
-29;0;38;1;1
-33;0;30;1;1
-39;0;23;1;1
-27;0;38;1;1
-35;0;28;1;1
-39;0;22;1;1
-27;0;12;1;1
-40;0;22;1;1
-28;0;18;1;1
-40;0;22;1;1
-37;0;16;1;1
-16;0;23;1;1
-40;0;15;1;1
-24;0;16;1;1
-34;0;28;1;1
-24;0;27;1;1
-29;0;37;1;1
-16;0;23;1;1
-23;0;21;1;1
-40;0;16;1;1
-17;0;23;1;1
-28;0;23;1;1
-26;0;16;1;1
-24;0;28;1;1
-18;0;25;1;1
-26;0;15;1;1
-26;0;13;1;1
-32;0;10;1;1
-26;0;37;1;1
-33;0;29;1;1
-22;0;29;1;1
-33;0;10;1;1
-26;0;23;1;1
-31;0;14;1;1
-29;0;23;1;1
-23;0;21;1;1
-37;0;10;1;1
-39;0;23;1;1
-39;0;16;1;1
-26;0;31;1;1
-21;0;18;1;1
-16;0;24;1;1
-26;0;30;1;1
-16;0;23;1;1
-23;0;20;1;1
-25;0;28;1;1
-28;0;37;1;1
-18;0;30;1;1
-29;0;18;1;1
-24;0;22;1;1
-18;0;33;1;1
-37;0;12;1;1
-40;0;15;1;1
-27;0;38;1;1
-27;0;38;1;1
-31;0;31;1;1
-26;0;32;1;1
-23;0;21;1;1
-20;0;18;1;1
-16;0;28;1;1
-24;0;19;1;1
-27;0;38;1;1
-32;0;14;1;1
-39;0;22;1;1
-39;0;19;1;1
-40;0;16;1;1
-22;0;28;1;1
-16;0;28;1;1
-29;0;19;1;1
-36;0;20;1;1
-22;0;20;1;1
-22;0;28;1;1
-15;0;27;1;1
-26;0;32;1;1
-37;0;12;1;1
-17;0;25;1;1
-15;0;27;1;1
-28;0;18;1;1
-24;0;27;1;1
-35;0;10;1;1
-15;0;27;1;1
