"x";"y";"z";"E";"n"
-31;-23;13;1;1
-32;-22;12;1;1
-32;-21;12;1;1
-32;-21;13;0;0
-33;-20;13;0;0
-34;-19;13;1;1
-34;-19;14;1;1
-34;-18;13;1;5
-29;-25;13;1;1
-31;-22;12;1;1
-31;-22;13;0;0
-31;-22;15;1;2
-31;-21;12;1;1
-32;-21;15;1;2
-32;-20;14;0;0
-33;-19;13;0;0
-33;-19;15;0;0
-33;-19;16;0;0
-33;-18;11;1;1
-33;-18;13;1;1
-33;-18;15;0;0
-33;-18;17;1;8
-34;-17;15;1;6
-34;-18;16;1;3
-25;-30;12;0;0
-26;-29;13;1;1
-26;-28;13;1;9
-27;-28;13;1;1
-27;-27;13;0;0
-27;-27;14;0;0
-28;-26;15;0;0
-28;-25;14;1;1
-29;-24;11;1;1
-29;-24;12;0;0
-29;-24;13;1;3
-29;-24;14;1;7
-29;-24;15;1;7
-29;-24;17;0;0
-29;-23;11;1;23
-29;-23;12;1;26
-29;-23;13;1;49
-30;-22;17;0;0
-30;-21;13;1;5
-30;-21;14;0;0
-30;-21;16;1;5
-31;-21;14;0;0
-31;-21;15;0;0
-31;-21;16;1;4
-31;-21;17;0;0
-31;-21;18;0;0
-31;-20;11;1;4
-31;-20;12;0;0
-31;-20;13;0;0
-31;-20;14;0;0
-31;-20;15;0;0
-31;-20;16;0;0
-31;-20;19;1;1
-32;-19;11;1;1
-32;-19;18;0;0
-32;-19;19;0;0
-32;-18;16;0;0
-32;-18;17;1;1
-32;-18;18;0;0
-33;-17;12;1;2
-33;-17;13;1;2
-33;-17;16;1;7
-33;-17;17;1;4
-33;-17;18;1;6
-24;-31;12;0;0
-24;-30;12;0;0
-24;-30;15;0;0
-25;-29;13;1;6
-25;-29;15;0;0
-25;-28;14;1;8
-25;-28;15;1;2
-25;-28;16;0;0
-26;-27;15;0;0
-26;-26;11;0;0
-26;-26;13;1;2
-26;-26;15;1;1
-26;-26;17;1;3
-27;-25;13;1;3
-27;-25;14;1;1
-27;-25;15;0;0
-27;-26;17;1;2
-27;-26;18;1;27
-27;-24;11;1;1
-27;-24;13;1;7
-27;-25;15;1;1
-27;-25;16;1;6
-27;-25;17;0;0
-28;-25;18;1;4
-28;-25;19;0;0
-28;-24;15;1;4
-28;-24;18;1;7
-28;-23;13;1;22
-28;-23;14;1;1
-28;-23;15;0;0
-28;-23;16;0;0
-28;-23;17;0;0
-29;-23;19;1;2
-29;-22;13;0;0
-29;-22;15;0;0
-29;-22;16;0;0
-29;-21;13;1;4
-29;-21;14;1;3
-29;-21;15;1;1
-29;-21;16;1;1
-30;-21;19;0;0
-30;-20;11;1;2
-30;-20;15;0;0
-30;-20;18;1;2
-30;-20;20;0;0
-30;-19;11;0;0
-30;-19;12;1;1
-30;-19;14;1;5
-30;-19;16;0;0
-30;-19;17;1;4
-31;-19;18;1;1
-31;-19;20;1;1
-31;-19;21;1;11
-31;-18;13;0;0
-31;-18;15;0;0
-31;-18;16;0;0
-31;-18;18;1;1
-31;-18;19;1;1
-31;-18;20;0;0
-31;-19;21;1;2
-31;-17;11;1;1
-31;-17;12;1;6
-31;-17;13;0;0
-31;-17;14;1;6
-32;-18;18;0;0
-32;-18;20;1;2
-32;-16;13;1;14
-32;-17;16;1;1
-32;-17;20;1;1
-32;-17;21;0;0
-22;-31;13;0;0
-22;-31;15;1;1
-23;-30;14;1;2
-23;-30;15;1;4
-23;-30;16;1;1
-23;-29;13;1;3
-24;-29;17;1;3
-24;-28;12;1;1
-24;-28;14;1;3
-24;-29;18;1;8
-24;-27;11;0;0
-25;-28;17;1;2
-25;-28;18;1;7
-25;-27;11;0;0
-25;-27;13;1;5
-25;-27;14;1;5
-25;-27;15;1;1
-25;-27;16;1;1
-25;-27;19;1;4
-25;-26;12;0;0
-25;-26;13;1;8
-25;-26;14;1;20
-25;-26;15;1;1
-26;-26;16;1;3
-26;-26;18;1;7
-26;-25;12;1;1
-26;-25;14;1;3
-26;-25;15;1;1
-26;-25;16;1;6
-26;-25;17;1;3
-26;-25;20;0;0
-27;-24;16;1;4
-27;-24;17;1;2
-27;-24;18;1;7
-27;-24;20;0;0
