x;y;z;E;n;objname;pgc;al2000;de2000;r
-22;0;38;1;0;PGC2598198;2598198;12,058283;60,1167954;999980,656284545
-21;0;16;1;1;PGC2092334;2092334;12,0584395;37,0666865;609416,668428292
-22;0;32;1;1;SDSSJ120330.54+545541.8;4011348;12,058481;54,9283565;890306,946028789
-27;0;16;1;0;SDSSJ120330.82+302121.9;4308722;12,0585534;30,3561459;724983,210202965
-25;0;31;1;0;PGC2383199;2383199;12,0586272;50,8386619;911712,986187807
-23;0;29;1;1;2MASXJ12033160+5140366;3401438;12,0587596;51,676965;855089,444632894
-21;0;33;1;0;SDSSJ120332.24+571336.9;3476315;12,0589549;57,2269489;909827,910835161
-18;0;25;1;1;2MASXJ12033259+5451099;3476316;12,0590552;54,8526915;705986,621424072
-22;0;26;1;0;2MASXJ12033272+4941406;3547657;12,059081;49,6947792;787183,318627338
-19;0;34;1;1;SDSSJ120333.12+595107.9;3409909;12,0591996;59,8522382;888456,429157982
-21;0;19;1;0;PGC2205078;2205078;12,0592534;42,7356572;651691,799880447
-18;0;27;1;1;PGC2508472;2508472;12,0592726;55,6187138;746340,534325542
-18;0;23;1;1;PGC038105;38105;12,0595283;51,8034713;678916,623817577
-17;0;24;1;0;PGC2480282;2480282;12,0595611;54,7863957;688551,61938987
-19;0;32;1;0;PGC2595218;2595218;12,0595602;59,8725194;855154,191925861
-31;0;12;1;0;PGC1662774;1662774;12,0596025;22,06127;767593,697399898
-24;0;13;1;1;PGC1882695;1882695;12,0595795;29,9089469;626787,282062467
-21;0;36;1;0;SDSSJ120335.70+591346.4;3409902;12,0599196;59,2295438;960647,095072516
-29;0;27;1;1;PGC2205611;2205611;12,0599484;42,7608705;901869,304841489
-16;0;28;1;0;PGC2599221;2599221;12,059987;60,2035047;744453,447908476
-22;0;26;1;0;PGC2351052;2351052;12,0600112;49,7095371;793011,982187809
-25;0;29;1;1;SDSSJ120336.36+485200.8;3411454;12,0601036;48,8669281;886429,985657037
-18;0;25;1;1;PGC2472925;2472925;12,0602178;54,5488655;711593,094895443
-19;0;34;1;1;PGC2607132;2607132;12,0602661;60,8034041;880349,720113689
-23;0;22;1;1;PGC2226453;2226453;12,0603689;43,6761556;723177,869832789
-24;0;19;1;1;PGC2137805;2137805;12,0603695;38,8414503;707751,72349877
-23;0;22;1;1;SDSSJ120337.40+424110.2;3547660;12,060392;42,6861849;734660,929024237
-17;0;25;1;0;PGC2474939;2474939;12,0605809;54,6176748;696172,566375904
-21;0;33;1;0;SDSSJ120338.92+570929.5;3476325;12,0608089;57,1581841;900048,974947843
-19;0;18;1;1;PGC2228166;2228166;12,0608245;43,7461398;617045,981955348
-24;0;10;1;1;PGC1685610;1685610;12,0608346;23,3355925;607428,89856603
-26;0;29;1;1;PGC038107;38107;12,061024;48,0291585;888303,282089064
-35;0;11;1;0;SDSSJ120340.03+181038.8;4308831;12,0611192;18,1774943;841105,589684871
-17;0;25;1;0;2MASXJ12034007+5549319;3476328;12,0611489;55,8256286;706039,300943975
-17;0;27;1;0;SDSSJ120340.43+571326.3;3476329;12,0612353;57,2239729;732809,316523002
-29;0;17;1;0;PGC1872440;1872440;12,0613222;29,6265513;777171,659386266
-21;0;36;1;0;SDSSJ120340.80+592312.7;3409905;12,0613316;59,3868225;964401,137824344
-14;0;26;1;0;PGC2615380;2615380;12,0616565;61,2951887;684671,39263252
-18;0;26;1;0;PGC2481529;2481529;12,0617413;54,8254014;721307,755127388
-19;0;32;1;0;PGC2592364;2592364;12,0618438;59,6077757;847362,730933212
-39;0;15;1;1;2MASXJ12034280+2152529;3781687;12,0618893;21,8814358;964077,143904337
-27;0;33;1;0;PGC2383230;2383230;12,0619649;50,839798;970155,337586921
-21;0;33;1;0;SDSSJ120343.15+572259.8;3476336;12,0619847;57,3833537;896062,646600218
-31;0;23;1;0;PGC2080216;2080216;12,0621149;36,4150764;880163,395210245
-26;0;29;1;1;PGC2303633;2303633;12,0621612;47,7460128;903781,653090761
-19;0;32;1;0;PGC2593241;2593241;12,0621602;59,6931504;856986,050876893
-18;0;34;1;0;PGC2609043;2609043;12,062165;60,923803;878418,913961875
-25;0;8;1;1;PGC1559030;1559030;12,0621743;18,4172929;611125,538710475
-36;0;19;1;0;PGC1837179;1837179;12,0622998;28,4866935;935001,327900236
-13;0;34;1;1;PGC2713947;2713947;12,062761;68,2046937;845615,343758269
