x;y;z;E;n
-42;0;14;0;1
-42;1;12;0;1
-42;1;14;0;1
-42;2;12;0;1
-42;3;14;0;1
-42;5;12;1;1
-42;5;13;0;1
-42;6;13;0;1
-41;0;17;0;1
-41;3;12;0;1
-41;3;13;1;1
-41;3;15;0;1
-41;4;12;0;1
-41;4;15;0;1
-41;5;14;1;1
-41;6;14;0;1
-41;7;12;0;1
-41;7;13;0;1
-41;7;14;1;1
-41;8;12;0;1
-41;8;14;0;1
-41;9;12;0;1
-41;11;12;1;1
-41;11;13;1;1
-40;0;11;0;1
-40;0;13;1;1
-40;0;15;1;1
-40;0;18;0;1
-40;1;13;0;1
-40;1;14;1;1
-40;1;19;0;1
-40;2;15;0;1
-40;2;19;1;1
-40;3;11;0;1
-40;3;12;0;1
-40;3;13;0;1
-40;3;14;1;1
-40;3;16;1;1
-40;3;17;0;1
-40;3;18;1;1
-40;3;19;0;1
-40;5;13;0;1
-40;5;17;0;1
-40;5;18;1;1
-40;6;12;1;1
-40;6;18;0;1
-40;7;11;0;1
-40;7;12;1;1
-40;7;13;1;1
-40;7;14;0;1
-40;7;15;0;1
-40;7;16;0;1
-40;7;17;0;1
-40;8;11;1;1
-40;8;12;1;1
-40;8;13;1;1
-40;8;16;1;1
-40;8;17;0;1
-40;9;17;1;1
-40;10;12;0;1
-40;11;13;0;1
-40;11;14;0;1
-40;11;15;1;1
-40;12;14;1;1
-40;12;15;0;1
-40;13;14;1;1
-40;14;12;1;1
-40;14;13;0;1
-39;0;12;1;1
-39;0;14;1;1
-39;0;17;0;1
-39;0;19;1;1
-39;0;21;0;1
-39;1;13;0;1
-39;1;14;1;1
-39;1;15;1;1
-39;1;20;0;1
-39;2;12;0;1
-39;2;14;0;1
-39;2;16;0;1
-39;2;18;1;1
-39;3;11;1;1
-39;3;12;0;1
-39;3;13;1;1
-39;3;15;1;1
-39;3;16;0;1
-39;3;17;0;1
-39;3;19;1;1
-39;3;21;1;1
-39;4;11;1;1
-39;4;12;0;1
-39;4;13;0;1
-39;4;14;0;1
-39;4;19;1;1
-39;5;12;0;1
-39;5;16;0;1
-39;5;17;1;1
-39;5;18;1;1
-39;5;19;1;1
-39;5;20;1;1
-39;6;12;0;1
-39;6;16;1;1
-39;6;18;0;1
-39;6;19;1;1
-39;7;16;0;1
-39;7;17;0;1
-39;7;18;0;1
-39;7;19;1;1
-39;8;12;1;1
-39;8;14;1;1
-39;8;18;0;1
-39;9;12;0;1
-39;9;14;1;1
-39;9;15;1;1
-39;9;16;1;1
-39;9;18;0;1
-39;10;11;1;1
-39;10;12;0;1
-39;10;13;1;1
-39;10;15;0;1
-39;10;16;1;1
-39;11;11;1;1
-39;11;13;0;1
-39;11;14;1;1
-39;11;16;0;1
-39;11;17;1;1
-39;11;18;0;1
-39;12;11;1;1
-39;12;12;0;1
-39;12;13;0;1
-39;12;14;0;1
-39;12;15;0;1
-39;13;13;0;1
-39;13;15;1;1
-39;14;14;0;1
-39;15;13;0;1
-39;16;13;0;1
-39;17;12;1;1
-38;0;16;1;1
-38;0;18;0;1
-38;0;21;0;1
-38;0;22;1;1
-38;1;11;1;1
-38;1;14;0;1
-38;1;18;0;1
-38;1;20;0;1
-38;1;22;1;1
-38;2;14;1;1
-38;2;15;1;1
-38;2;21;0;1
-38;2;22;0;1
-38;3;11;0;1
-38;3;13;0;1
-38;3;14;0;1
-38;3;15;0;1
-38;3;16;0;1
-38;3;19;0;1
-38;3;21;1;1
-38;3;22;1;1
-38;4;11;1;1
-38;4;12;0;1
-38;4;13;0;1
-38;4;15;1;1
-38;4;19;0;1
-38;4;21;0;1
-38;4;22;0;1
-38;5;11;1;1
-38;5;12;0;1
-38;5;15;0;1
-38;5;21;1;1
-38;5;22;0;1
-38;6;11;0;1
-38;6;13;0;1
-38;6;14;0;1
-38;6;15;0;1
-38;6;16;0;1
-38;6;17;1;1
-38;6;20;1;1
-38;6;21;1;1
-38;7;12;0;1
-38;7;13;0;1
-38;7;14;1;1
-38;7;17;1;1
-38;7;19;0;1
-38;7;20;0;1
-38;7;21;1;1
-38;8;11;1;1
-38;8;15;1;1
-38;8;17;1;1
-38;8;18;0;1
-38;8;19;1;1
-38;8;21;0;1
-38;9;18;0;1
-38;9;19;1;1
-38;9;20;0;1
-38;10;13;0;1
-38;10;15;1;1
-38;10;16;0;1
-38;10;18;0;1
-38;10;19;1;1
-38;11;11;0;1
-38;11;14;1;1
-38;11;15;1;1
-38;11;17;1;1
-38;11;19;1;1
-38;11;20;0;1
-38;12;13;0;1
-38;12;15;0;1
-38;12;16;0;1
-38;12;18;0;1
-38;13;11;0;1
-38;13;12;1;1
-38;13;13;0;1
-38;13;15;1;1
-38;13;17;1;1
-38;14;12;0;1
-38;14;14;0;1
-38;14;16;1;1
-38;14;17;0;1
-38;15;12;0;1
-38;16;12;0;1
-38;16;13;1;1
-38;16;15;0;1
-38;16;16;0;1
-38;17;14;0;1
-38;18;12;1;1
-37;0;10;1;1
-37;0;13;0;1
-37;0;15;1;1
-37;0;16;0;1
-37;0;17;0;1
-37;0;19;1;1
-37;0;21;0;1
-37;0;23;0;1
-37;0;24;1;1
-37;1;13;0;1
-37;1;15;0;1
-37;1;18;1;1
-37;1;20;1;1
-37;1;22;1;1
-37;2;15;0;1
-37;2;17;1;1
-37;2;18;0;1
-37;2;19;1;1
-37;2;20;0;1
-37;2;21;0;1
-37;2;23;1;1
-37;3;13;0;1
-37;3;15;0;1
-37;3;17;1;1
-37;3;18;0;1
-37;3;20;0;1
-37;3;22;1;1
-37;4;10;1;1
-37;4;14;0;1
-37;4;15;0;1
-37;4;16;0;1
-37;4;21;0;1
-37;4;24;0;1
-37;5;13;0;1
-37;5;17;1;1
-37;5;20;1;1
-37;5;22;0;1
-37;5;23;1;1
-37;5;24;1;1
-37;6;11;1;1
-37;6;13;0;1
-37;6;14;0;1
-37;6;15;0;1
-37;6;16;1;1
-37;6;17;0;1
-37;6;22;0;1
-37;6;23;1;1
-37;7;12;0;1
-37;7;13;1;1
-37;7;14;1;1
-37;7;15;1;1
-37;7;19;0;1
-37;7;20;0;1
-37;7;22;1;1
-37;7;23;0;1
-37;8;14;0;1
-37;8;16;1;1
-37;8;19;0;1
-37;8;20;0;1
-37;9;12;0;1
-37;9;13;0;1
-37;9;14;1;1
-37;9;16;1;1
-37;9;17;0;1
-37;9;18;1;1
-37;9;19;0;1
-37;9;22;0;1
-37;10;11;1;1
-37;10;12;0;1
-37;10;14;0;1
-37;10;15;0;1
-37;10;17;0;1
-37;10;18;0;1
-37;10;20;1;1
-37;10;21;0;1
-37;11;11;1;1
-37;11;13;0;1
-37;11;14;0;1
-37;11;15;0;1
-37;11;17;0;1
-37;11;18;0;1
-37;11;21;0;1
-37;12;11;0;1
-37;12;14;0;1
-37;12;15;0;1
-37;12;19;1;1
-37;13;11;0;1
-37;13;16;1;1
-37;13;19;0;1
-37;14;11;0;1
-37;14;16;0;1
-37;14;17;0;1
-37;14;19;0;1
-37;15;14;0;1
-37;15;15;0;1
-37;15;16;0;1
-37;15;18;0;1
-37;16;12;0;1
-37;16;13;0;1
-37;16;14;0;1
-37;16;16;0;1
-37;16;17;1;1
-37;16;18;0;1
-37;17;12;0;1
-37;17;15;0;1
-37;17;16;1;1
-37;17;17;0;1
-37;18;12;0;1
-37;18;13;1;1
-37;18;14;0;1
-37;19;12;0;1
-37;19;13;0;1
-37;19;15;1;1
-37;20;13;0;1
-37;20;14;1;1
-37;21;12;0;1
-36;0;10;1;1
-36;0;13;1;1
-36;0;18;1;1
-36;0;22;0;1
-36;0;23;0;1
-36;0;24;1;1
-36;0;25;1;1
-36;1;10;1;1
-36;1;16;1;1
-36;1;17;1;1
-36;1;18;0;1
-36;1;19;0;1
-36;1;20;0;1
-36;1;21;0;1
-36;1;22;1;1
-36;1;24;1;1
-36;1;25;0;1
-36;2;10;0;1
-36;2;12;0;1
-36;2;14;0;1
-36;2;17;1;1
-36;2;23;0;1
-36;3;11;1;1
-36;3;13;0;1
-36;3;16;0;1
-36;3;17;1;1
-36;3;19;0;1
-36;3;23;0;1
-36;3;24;0;1
-36;4;13;1;1
-36;4;15;0;1
-36;4;17;0;1
-36;4;18;0;1
-36;4;19;0;1
-36;4;21;1;1
-36;5;10;1;1
-36;5;12;1;1
-36;5;13;0;1
-36;5;14;0;1
-36;5;16;1;1
-36;5;21;0;1
-36;5;22;0;1
-36;5;23;1;1
-36;5;24;1;1
-36;6;14;0;1
-36;6;19;1;1
-36;6;20;0;1
-36;6;21;0;1
-36;6;22;0;1
-36;7;11;0;1
-36;7;13;0;1
-36;7;14;0;1
-36;7;15;0;1
-36;7;16;0;1
-36;7;17;0;1
-36;7;20;1;1
-36;7;21;0;1
-36;7;22;1;1
-36;7;23;1;1
-36;7;24;0;1
-36;8;10;0;1
-36;8;12;1;1
-36;8;15;1;1
-36;8;16;0;1
-36;8;17;0;1
-36;8;19;0;1
-36;8;21;0;1
-36;8;22;0;1
-36;8;24;0;1
-36;9;10;0;1
-36;9;12;1;1
-36;9;14;0;1
-36;9;15;0;1
-36;9;21;1;1
-36;9;24;0;1
-36;10;11;1;1
-36;10;14;1;1
-36;10;16;0;1
-36;10;19;0;1
-36;10;22;0;1
-36;11;11;1;1
-36;11;12;0;1
-36;11;15;1;1
-36;11;22;1;1
-36;11;23;1;1
-36;12;12;1;1
-36;12;13;1;1
-36;12;14;1;1
-36;12;17;1;1
-36;12;18;1;1
-36;12;19;1;1
-36;12;21;1;1
-36;12;22;0;1
-36;12;23;0;1
-36;13;11;1;1
-36;13;13;0;1
-36;13;18;0;1
-36;13;19;0;1
-36;13;20;1;1
-36;14;11;0;1
-36;14;13;0;1
-36;14;15;1;1
-36;14;17;0;1
-36;14;19;0;1
-36;15;11;0;1
-36;15;12;0;1
-36;15;14;0;1
-36;15;16;0;1
-36;15;17;0;1
-36;16;16;0;1
-36;17;12;0;1
-36;17;13;1;1
-36;17;19;1;1
-36;18;15;0;1
-36;18;16;0;1
-36;18;17;1;1
-36;19;13;1;1
-36;19;14;1;1
-36;19;15;1;1
-36;19;17;1;1
-36;20;14;1;1
-36;20;15;0;1
-36;20;16;1;1
-36;21;12;1;1
-36;21;14;0;1
-36;23;12;1;1
-35;0;11;1;1
-35;0;12;0;1
-35;0;13;0;1
-35;0;17;0;1
-35;0;21;0;1
-35;0;22;0;1
-35;0;24;0;1
-35;0;25;0;1
-35;0;26;1;1
-35;1;10;0;1
-35;1;11;1;1
-35;1;12;1;1
-35;1;16;0;1
-35;1;17;0;1
-35;1;21;0;1
-35;1;23;1;1
-35;1;26;1;1
-35;1;27;0;1
-35;2;12;1;1
-35;2;14;1;1
-35;2;15;1;1
-35;2;16;1;1
-35;2;18;0;1
-35;2;19;1;1
-35;2;20;0;1
-35;2;24;0;1
-35;2;27;0;1
-35;3;10;1;1
-35;3;11;1;1
-35;3;12;0;1
-35;3;13;0;1
-35;3;16;1;1
-35;3;17;0;1
-35;3;21;0;1
-35;3;24;0;1
-35;4;10;0;1
-35;4;12;0;1
-35;4;14;0;1
-35;4;16;1;1
-35;4;17;1;1
-35;4;18;1;1
-35;4;20;1;1
-35;4;21;0;1
-35;4;22;1;1
-35;4;24;0;1
-35;4;26;0;1
-35;5;11;0;1
-35;5;13;1;1
-35;5;16;0;1
-35;5;17;1;1
-35;5;18;1;1
-35;5;20;0;1
-35;5;21;0;1
-35;6;12;1;1
-35;6;14;0;1
-35;6;16;1;1
-35;6;23;1;1
-35;6;24;0;1
-35;6;25;1;1
-35;7;13;0;1
-35;7;15;0;1
-35;7;17;0;1
-35;7;18;0;1
-35;7;26;0;1
-35;8;10;0;1
-35;8;13;1;1
-35;8;15;1;1
-35;8;17;1;1
-35;8;18;1;1
-35;8;20;0;1
-35;8;21;1;1
-35;9;10;1;1
-35;9;12;0;1
-35;9;13;0;1
-35;9;14;1;1
-35;9;15;0;1
-35;9;16;0;1
-35;9;19;0;1
-35;9;21;0;1
-35;9;23;0;1
-35;9;24;0;1
-35;9;25;0;1
-35;10;10;0;1
-35;10;14;0;1
-35;10;15;1;1
-35;10;16;0;1
-35;10;17;0;1
-35;10;19;0;1
-35;10;21;0;1
-35;10;23;0;1
-35;10;25;0;1
-35;11;13;0;1
-35;11;14;0;1
-35;11;15;0;1
-35;11;16;0;1
-35;11;17;0;1
-35;11;18;0;1
-35;11;20;0;1
-35;11;23;0;1
-35;12;12;0;1
-35;12;14;0;1
-35;12;15;1;1
-35;12;17;1;1
-35;12;18;0;1
-35;12;22;0;1
-35;13;11;0;1
-35;13;14;1;1
-35;13;15;0;1
-35;13;18;1;1
-35;14;11;1;1
-35;14;12;1;1
-35;14;15;0;1
-35;14;16;1;1
-35;14;19;0;1
-35;14;20;1;1
-35;14;23;1;1
-35;15;16;0;1
-35;15;17;1;1
