Galaxias;Celdas;Ocup.Med;Ocupadas;Ocup.Az;Ocup.AzAj;;;;;
557.906;5.200.582;1,899;293.790;293.461;269.799;;;;;
Den. = milesimas de galaxia por Mal al cubo;;;;;;;;;;
Dist.;Numero;Cel.Ocup;Cel.Ocup;;;;;;;
10^6al;Galaxias;Azar;Azar.Aj;Den.;Den.Az;Den.AzAj;;;;
35;348;0;0;22,0455;0;0;;;;
45;0;0;0;0;0;0;;;;
55;500;1;6;12,87867;0,04891;0,293479;;;;
65;176;0;1;3,24826;0;0,035048;;;;
75;235;0;1;3,25929;0;0,026338;;;;
85;358;1;10;3,86693;0,02051;0,205119;;;;
95;193;0;1;1,66928;0;0,016425;;;;
105;287;0;2;2,03234;0;0,026895;;;;
115;180;0;1;1,06273;0;0,011212;;;;
125;273;1;23;1,36437;0,00949;0,218284;;;;
135;259;0;1;1,10983;0;0,008137;;;;
145;210;0;1;0,78007;0;0,007054;;;;
155;402;4;37;1,30687;0,02469;0,228419;;;;
165;227;1;27;0,65125;0,00545;0,147098;;;;
175;345;3;44;0,87993;0,01453;0,21311;;;;
185;328;1;40;0,74859;0,00433;0,173363;;;;
195;283;3;49;0,58136;0,0117;0,191151;;;;
205;382;2;44;0,71005;0,00706;0,155312;;;;
215;363;1;55;0,61344;0,00321;0,176503;;;;
225;464;2;65;0,71598;0,00586;0,190468;;;;
235;359;5;65;0,50783;0,01343;0,174605;;;;
245;392;7;88;0,51017;0,0173;0,217488;;;;
255;533;5;78;0,64034;0,01141;0,177952;;;;
265;484;8;83;0,53842;0,0169;0,17534;;;;
275;588;8;100;0,60741;0,01569;0,19617;;;;
285;909;4;92;0,87428;0,00731;0,168035;;;;
295;1035;8;102;0,92913;0,01364;0,173884;;;;
305;1359;8;129;1,14131;0,01276;0,205729;;;;
315;1154;3;121;0,90859;0,00449;0,180914;;;;
325;1275;5;131;0,94304;0,00702;0,183999;;;;
335;1354;7;139;0,94258;0,00925;0,183755;;;;
345;1025;9;150;0,67279;0,01122;0,186968;;;;
355;1294;9;154;0,80218;0,0106;0,181293;;;;
365;993;7;172;0,58231;0,0078;0,191541;;;;
375;1065;7;155;0,59167;0,00739;0,163527;;;;
385;1265;9;205;0,66675;0,00901;0,205189;;;;
395;1067;12;207;0,53428;0,01141;0,196833;;;;
405;1185;13;201;0,56443;0,01176;0,181806;;;;
415;1081;12;213;0,49038;0,01034;0,183488;;;;
425;1121;13;214;0,48487;0,01068;0,175777;;;;
