x;y;z;E;n
-59;-6;16;0;1
-59;-4;19;0;1
-59;-3;18;1;1
-59;-1;16;0;1
-59;-1;19;0;1
-59;0;19;0;1
-59;1;16;1;1
-59;2;16;0;1
-59;2;17;0;1
-59;4;16;0;1
-59;4;18;1;1
-59;6;16;0;1
-59;6;17;1;1
-59;6;18;1;1
-59;7;18;0;1
-59;8;16;0;1
-58;-13;16;0;1
-58;-13;17;0;1
-58;-13;18;1;1
-58;-12;18;0;1
-58;-11;18;0;1
-58;-11;19;0;1
-58;-10;17;1;1
-58;-9;16;0;1
-58;-9;19;0;1
-58;-8;16;1;1
-58;-8;18;0;1
-58;-7;17;0;1
-58;-7;20;1;1
-58;-6;17;1;1
-58;-6;20;0;1
-58;-5;18;1;1
-58;-5;19;1;1
-58;-5;21;0;1
-58;-4;16;1;1
-58;-4;21;1;1
-58;-2;19;0;1
-58;-2;20;1;1
-58;-2;21;0;1
-58;0;18;0;1
-58;0;19;1;1
-58;0;20;0;1
-58;0;21;0;1
-58;0;22;0;1
-58;1;17;1;1
-58;1;20;0;1
-58;2;16;0;1
-58;2;17;1;1
-58;2;18;1;1
-58;2;19;1;1
-58;2;21;0;1
-58;2;22;1;1
-58;3;17;0;1
-58;3;19;0;1
-58;3;22;0;1
-58;4;16;0;1
-58;4;18;1;1
-58;4;21;0;1
-58;5;16;1;1
-58;5;17;0;1
-58;5;18;0;1
-58;5;20;0;1
-58;6;16;0;1
-58;6;18;0;1
-58;7;18;1;1
-58;7;19;1;1
-58;7;20;0;1
-58;8;18;0;1
-58;9;19;1;1
-58;10;16;0;1
-58;11;16;0;1
-58;11;18;0;1
-58;12;17;1;1
-58;13;16;1;1
-58;13;18;1;1
-57;-17;18;0;1
-57;-16;16;0;1
-57;-16;17;0;1
-57;-16;18;0;1
-57;-15;16;0;1
-57;-15;18;0;1
-57;-15;19;0;1
-57;-14;18;0;1
-57;-13;16;1;1
-57;-13;18;1;1
-57;-13;19;0;1
-57;-13;20;1;1
-57;-13;21;0;1
-57;-12;17;0;1
-57;-12;19;0;1
-57;-12;20;1;1
-57;-11;16;0;1
-57;-11;17;0;1
-57;-11;18;0;1
-57;-11;19;0;1
-57;-11;20;0;1
-57;-11;21;1;1
-57;-11;22;0;1
-57;-10;18;1;1
-57;-10;19;0;1
-57;-10;20;0;1
-57;-10;21;0;1
-57;-10;22;0;1
-57;-9;16;0;1
-57;-9;18;0;1
-57;-8;16;0;1
-57;-8;18;0;1
-57;-8;19;0;1
-57;-7;17;0;1
-57;-7;18;0;1
-57;-7;20;1;1
-57;-7;22;1;1
-57;-6;17;1;1
-57;-6;18;0;1
-57;-6;21;1;1
-57;-6;23;0;1
-57;-5;19;1;1
-57;-5;21;0;1
-57;-4;17;1;1
-57;-4;19;0;1
-57;-3;17;1;1
-57;-3;24;0;1
-57;-2;18;0;1
-57;-2;21;1;1
-57;-2;22;0;1
-57;-2;24;0;1
-57;-1;16;1;1
-57;-1;17;0;1
-57;-1;22;0;1
-57;0;16;0;1
-57;0;18;0;1
-57;0;19;1;1
-57;0;20;0;1
-57;0;22;0;1
-57;0;23;0;1
-57;1;18;0;1
-57;1;19;1;1
-57;1;20;0;1
-57;1;23;0;1
-57;2;18;0;1
-57;2;22;0;1
-57;2;23;1;1
