x;y;z;E;n
-21;-28;35;0;1
-43;4;18;0;1
-21;31;28;1;1
-31;36;13;0;1
-31;-10;49;0;1
-44;15;36;1;1
-21;26;48;0;1
-24;-19;41;1;1
-40;31;29;0;1
-28;-26;31;0;1
-24;-3;52;0;1
-26;32;24;0;1
-54;-9;29;1;1
-45;17;21;1;1
-23;-9;56;0;1
-30;-29;22;0;1
-21;-7;42;0;1
-30;10;50;0;1
-25;-39;31;0;1
-22;7;53;0;1
-14;-15;52;0;1
-39;25;29;1;1
-49;-11;21;0;1
-55;-18;20;1;1
-38;2;23;1;1
-34;47;22;0;1
-35;21;18;0;1
-19;10;47;1;1
-41;11;17;1;1
-28;-30;38;0;1
-32;-12;42;0;1
-52;3;23;0;1
-21;34;43;0;1
-44;24;26;1;1
-44;-10;30;0;1
-23;1;48;1;1
-38;-22;27;0;1
-43;40;20;0;1
-40;-39;15;0;1
-23;-16;43;1;1
-43;-7;24;1;1
-52;-4;25;1;1
-53;16;21;0;1
-30;-4;47;0;1
-22;-13;45;1;1
-50;22;26;1;1
-24;-41;21;1;1
-28;30;32;0;1
-17;-24;39;0;1
-43;12;30;0;1
-25;-31;28;1;1
-44;15;29;1;1
-20;5;55;1;1
-27;16;37;1;1
-58;-1;22;0;1
-33;8;43;1;1
-46;-13;26;0;1
-21;-10;41;1;1
-42;-33;31;1;1
-49;-25;28;0;1
-27;37;15;1;1
-16;3;43;0;1
-33;-12;37;0;1
-29;-39;38;1;1
-47;6;22;0;1
-26;43;31;0;1
-22;26;51;0;1
-24;33;35;1;1
-14;23;39;1;1
-11;15;49;1;1
-42;15;23;0;1
-29;-23;25;1;1
-39;-8;43;0;1
-18;-12;47;0;1
-29;-30;35;0;1
-18;14;42;0;1
-40;15;14;1;1
-35;-2;36;0;1
-45;-36;17;0;1
-40;-36;24;1;1
-27;-13;44;0;1
-25;-26;49;0;1
-15;11;46;1;1
-51;6;18;0;1
-20;17;38;0;1
-38;-33;35;0;1
-46;-17;34;0;1
-45;4;39;0;1
-44;19;22;1;1
-29;19;50;0;1
-28;26;33;0;1
-34;-38;18;0;1
-10;-17;54;0;1
-43;-12;23;0;1
-48;-12;20;0;1
-42;7;28;0;1
-33;-16;31;0;1
-37;-14;34;0;1
-34;9;42;1;1
-49;20;25;1;1
-43;-25;15;1;1
-15;13;42;0;1
-27;-27;42;0;1
-17;-15;47;0;1
-16;26;52;0;1
-47;-2;17;0;1
-22;21;53;0;1
-16;17;43;1;1
-49;-24;15;0;1
-51;22;18;0;1
-43;-8;13;0;1
-28;-26;38;1;1
-27;18;42;0;1
-18;16;41;1;1
-38;-11;26;1;1
-17;26;43;0;1
-13;14;43;0;1
-35;11;33;1;1
-27;45;19;0;1
-25;-28;25;1;1
-30;12;34;1;1
-28;31;45;0;1
-30;-17;50;1;1
-39;-27;20;0;1
-40;-10;29;1;1
-25;-15;46;1;1
-29;-19;33;1;1
-47;-8;24;0;1
-23;13;43;1;1
-37;-10;38;0;1
-36;-21;20;1;1
-19;-15;54;0;1
-16;-12;51;1;1
-50;-16;26;0;1
-49;-4;15;0;1
-26;-33;19;1;1
-51;29;17;0;1
-54;14;21;1;1
-49;1;27;0;1
-25;22;37;0;1
-34;-12;49;0;1
-45;6;23;1;1
-49;20;21;0;1
-46;-11;26;0;1
-35;-48;16;1;1
-55;9;16;0;1
-26;19;39;1;1
-51;6;28;0;1
-22;-30;49;0;1
-46;-12;36;1;1
-42;34;26;0;1
-51;1;25;0;1
-29;16;30;1;1
-27;22;38;0;1
-35;13;46;0;1
-33;-37;17;0;1
-38;-21;12;0;1
-37;-35;31;0;1
-29;-20;36;0;1
-44;7;29;0;1
-35;32;22;0;1
-26;-14;43;0;1
-47;20;29;0;1
-28;-13;44;0;1
-30;50;17;0;1
-40;-24;39;0;1
-27;-15;49;0;1
-29;16;38;0;1
-22;-4;56;1;1
-30;6;43;1;1
-20;-22;43;1;1
-16;-9;47;0;1
-38;30;24;0;1
-17;-25;35;0;1
-41;12;32;1;1
-35;-15;27;1;1
-31;47;19;0;1
-34;-45;20;0;1
-21;-9;48;0;1
-41;23;16;0;1
-54;-8;16;0;1
-31;9;37;0;1
-41;-17;31;1;1
-28;33;32;1;1
-46;-30;22;0;1
-38;-1;33;1;1
-42;30;22;0;1
-42;-18;28;0;1
-31;26;46;0;1
-32;42;30;0;1
-38;32;37;0;1
-28;-32;22;1;1
-38;22;38;0;1
-21;27;29;1;1
-40;15;43;0;1
-26;-19;38;0;1
-52;-7;17;0;1
-37;26;26;0;1
-34;24;40;0;1
-46;11;38;0;1
-40;-11;24;0;1
-48;-24;26;0;1
-44;13;29;0;1
-43;17;14;1;1
-42;-12;35;0;1
-40;-26;35;0;1
-28;-34;38;1;1
-27;-24;40;1;1
-36;37;31;0;1
-56;6;21;0;1
-20;9;43;1;1
-21;-4;45;1;1
-34;32;24;1;1
-38;-12;20;0;1
-45;20;29;0;1
-21;-8;53;1;1
-35;42;29;1;1
-36;8;30;1;1
-32;-25;42;0;1
-41;-11;26;1;1
-52;-21;22;0;1
-35;38;15;0;1
-51;25;23;0;1
-41;22;32;0;1
-42;-7;30;0;1
-43;5;17;0;1
-31;-3;45;1;1
-34;-11;37;0;1
-30;38;13;0;1
-33;35;29;0;1
-36;-35;17;0;1
-44;11;36;0;1
-15;11;49;0;1
-27;38;20;1;1
-14;16;50;0;1
-19;11;57;0;1
-37;-11;43;0;1
-52;3;26;0;1
-35;-15;35;0;1
-23;16;47;0;1
-28;14;42;0;1
-32;-27;41;0;1
-24;-36;12;1;1
-31;-3;48;1;1
-29;35;34;0;1
-34;17;36;0;1
-45;10;22;0;1
-55;-5;20;1;1
-27;-14;37;1;1
-36;7;46;0;1
-41;-21;40;0;1
-30;-42;24;1;1
-22;0;53;0;1
-43;25;29;0;1
-48;29;26;0;1
-23;-26;48;0;1
-53;15;21;0;1
-20;31;43;0;1
-14;-15;46;0;1
-54;-5;21;0;1
-27;-36;33;1;1
-44;-14;26;0;1
-50;24;27;0;1
-20;9;57;0;1
-31;12;52;0;1
-27;-32;16;0;1
-20;9;41;0;1
-25;-20;44;0;1
-38;27;40;0;1
-42;8;37;0;1
-34;-20;36;0;1
-36;11;43;0;1
-15;13;51;1;1
-27;-27;35;0;1
-31;-27;20;1;1
-34;-13;46;0;1
-28;-25;30;0;1
-35;29;27;0;1
-30;-11;47;0;1
-26;-13;53;0;1
-51;-18;23;1;1
-31;-41;29;0;1
-25;-16;53;0;1
-44;28;31;0;1
-41;-15;39;0;1
-24;3;46;1;1
-39;4;40;0;1
-26;-11;47;1;1
-30;-11;46;0;1
-45;-27;21;0;1
-21;27;42;0;1
-34;-29;20;0;1
-51;23;22;1;1
-36;16;31;1;1
-47;27;30;0;1
-34;31;40;1;1
-35;30;22;1;1
-21;27;36;1;1
-12;19;50;0;1
-17;25;35;1;1
-31;10;48;0;1
-37;0;34;0;1
-30;37;19;0;1
-35;7;37;0;1
-18;29;38;0;1
-23;0;44;1;1
-30;28;23;0;1
-46;12;15;0;1
-29;-19;35;0;1
-30;3;47;0;1
-46;8;25;0;1
-32;16;44;1;1
-40;-33;24;0;1
-42;-26;31;0;1
-15;-25;42;1;1
-47;24;18;0;1
-37;35;30;0;1
-21;-35;45;0;1
-30;38;18;0;1
-25;21;44;0;1
-38;7;41;0;1
-45;-21;22;0;1
-46;28;31;0;1
-43;3;30;0;1
-38;-17;27;1;1
-57;-6;24;1;1
-38;15;28;0;1
-32;-50;17;1;1
-31;-33;26;0;1
-50;26;24;0;1
-55;10;24;0;1
-25;32;32;1;1
-35;45;23;0;1
-29;19;37;0;1
-46;22;30;0;1
-29;-11;35;0;1
-18;8;45;1;1
-40;13;16;0;1
-42;24;23;1;1
-36;18;32;0;1
-45;24;30;0;1
-44;-8;32;0;1
-48;-17;19;1;1
-11;-19;44;1;1
-56;8;18;0;1
-39;-22;32;0;1
-44;-8;28;0;1
-23;-33;30;1;1
-35;9;30;1;1
-58;-14;16;0;1
-49;26;17;0;1
-31;30;22;0;1
-42;16;32;0;1
-43;-21;17;0;1
-31;-4;50;0;1
-36;12;28;0;1
-42;-8;34;1;1
-36;-40;15;0;1
-48;-1;20;1;1
-18;16;40;0;1
-35;1;33;1;1
-49;16;22;0;1
-32;38;16;1;1
-32;45;18;0;1
-30;-45;28;0;1
-38;-22;28;0;1
-49;2;24;0;1
-30;31;23;1;1
-49;-4;19;0;1
-40;35;25;1;1
-44;-3;25;1;1
-48;-7;21;1;1
-30;-23;24;1;1
-44;17;30;1;1
-30;-39;18;0;1
-44;-31;25;0;1
-50;-25;20;1;1
-45;-23;18;0;1
-43;-19;15;0;1
-53;9;22;0;1
-24;25;51;0;1
-32;-25;33;1;1
-49;-30;22;0;1
-31;-35;29;0;1
-14;11;42;0;1
-36;-34;25;0;1
-33;28;19;0;1
-41;-23;38;1;1
-50;8;35;1;1
-27;3;41;1;1
-37;24;38;0;1
-33;2;36;1;1
-43;-25;19;1;1
-40;22;41;0;1
-15;-12;47;1;1
-49;4;17;0;1
-30;-13;39;0;1
-33;-1;32;1;1
-37;-24;21;1;1
-29;-11;50;1;1
-42;-12;17;1;1
-32;-3;51;0;1
-26;-29;43;0;1
-46;-1;41;0;1
-24;8;52;0;1
-12;-20;52;0;1
-14;19;47;0;1
-51;0;34;0;1
-31;34;16;0;1
-37;25;25;0;1
-38;11;47;0;1
-49;0;27;0;1
-44;31;25;0;1
-50;1;35;0;1
-47;11;27;1;1
-20;32;38;1;1
-55;-6;24;0;1
-12;-14;42;1;1
-31;-1;48;0;1
-44;-4;18;0;1
-23;-33;20;1;1
-24;37;14;0;1
-32;12;37;0;1
-38;-7;39;1;1
-20;31;42;0;1
-29;33;36;1;1
-21;32;45;1;1
-40;-16;17;0;1
-43;13;38;0;1
-33;-9;43;1;1
-32;17;41;0;1
-33;35;33;0;1
-25;-30;23;1;1
-32;7;33;1;1
-25;38;16;0;1
-42;28;14;0;1
-24;3;57;1;1
-18;-26;48;0;1
-25;-36;35;0;1
-13;19;47;1;1
-36;5;40;1;1
-34;-35;37;0;1
-29;32;20;0;1
-29;29;36;0;1
-39;27;39;0;1
-39;-37;23;1;1
-39;-42;16;0;1
-46;-14;33;0;1
-44;-9;14;1;1
-50;-25;15;0;1
-50;13;21;0;1
-30;8;49;1;1
-18;-19;54;0;1
-44;14;15;1;1
-23;-23;40;0;1
-36;-19;23;0;1
-12;19;55;1;1
-38;22;18;0;1
-43;34;24;0;1
-46;-1;26;0;1
-48;-7;14;0;1
-28;-3;43;0;1
-23;-16;53;1;1
-49;-18;32;1;1
-23;35;37;0;1
-23;-2;53;1;1
-40;22;34;0;1
-29;-30;21;1;1
-41;4;41;0;1
-22;31;47;0;1
-48;3;18;0;1
-49;-14;17;1;1
-43;16;17;1;1
-31;26;37;0;1
-26;32;19;0;1
-39;19;19;1;1
-46;28;22;0;1
-20;-24;34;0;1
-55;14;17;1;1
-31;1;39;1;1
-39;20;17;1;1
-26;12;55;0;1
-48;24;25;0;1
-45;-11;18;1;1
-35;-32;28;0;1
-18;-7;52;0;1
-31;37;25;0;1
-32;40;21;0;1
-27;39;39;0;1
-38;5;39;0;1
-41;-33;31;1;1
-36;10;25;1;1
-28;41;28;0;1
-30;5;37;0;1
-21;29;39;0;1
-26;-13;39;0;1
-29;-15;48;0;1
-31;-14;48;0;1
-24;36;17;1;1
-33;-30;26;0;1
-56;-13;19;1;1
-28;-31;24;1;1
-22;7;39;1;1
-40;36;15;0;1
-17;22;53;1;1
-12;-19;53;0;1
-37;2;33;1;1
-39;0;48;0;1
-36;25;37;0;1
-34;-26;35;0;1
-41;-18;13;1;1
-48;-13;17;0;1
-38;-21;21;1;1
-29;-37;36;0;1
-24;-27;47;0;1
-39;27;27;0;1
-31;-42;19;1;1
-29;36;28;1;1
-30;26;36;0;1
-20;14;56;0;1
-43;29;33;0;1
-26;-18;32;0;1
-20;33;43;0;1
-20;21;47;1;1
-31;45;25;1;1
-28;-45;19;1;1
-38;32;14;0;1
-31;35;39;0;1
-27;-33;20;1;1
-55;-3;19;0;1
-28;23;34;0;1
-32;32;14;1;1
-49;-23;17;0;1
-34;28;13;0;1
-31;-21;31;1;1
-29;38;33;1;1
-21;32;43;0;1
-25;37;17;0;1
-44;35;23;0;1
-35;-14;39;1;1
-33;39;34;0;1
-41;-24;28;0;1
-47;30;21;0;1
-42;2;41;0;1
-48;-7;37;0;1
-45;-7;41;0;1
-50;16;17;1;1
-51;15;22;1;1
-23;-33;28;0;1
-32;-39;31;0;1
-45;7;35;1;1
-14;9;44;0;1
-17;11;47;0;1
-20;30;29;1;1
-41;16;31;0;1
-41;-34;32;1;1
-26;42;35;0;1
-17;-12;55;0;1
-27;-13;40;0;1
-41;24;38;0;1
-30;-28;26;0;1
-24;-35;29;0;1
-30;22;27;1;1
-36;-12;25;0;1
-25;34;22;1;1
-28;38;19;0;1
-54;-8;29;1;1
-22;-12;45;0;1
-51;15;28;0;1
-47;27;19;0;1
-35;-16;35;1;1
-25;16;51;0;1
-35;3;37;0;1
-45;17;17;0;1
-38;2;34;1;1
-16;-11;43;1;1
-30;-32;26;0;1
-29;31;29;0;1
-24;3;52;1;1
