Galaxias;Celdas;Ocup.Med;Ocupadas;Ocup.Az;Ocup.AzAj
127882;59458;4,4448;28771;29070;28370
Den. = milesimas de galaxia por Mal al cubo
Dist.;Numero;Cel.Ocup;Cel.Ocup;;;
10^6al;Galaxias;Azar;Azar.Aj;Den.;Den.Az;Den.AzAj
455;1255;123;252;0,47361;0,20632;0,422704
465;1148;129;259;0,41480;0,20718;0,415961
475;1126;151;213;0,38990;0,23241;0,327833
485;1119;143;244;0,37167;0,21111;0,360219
495;1145;168;225;0,36509;0,23810;0,318884
505;1229;151;260;0,37651;0,20562;0,354040
515;1481;205;307;0,43626;0,26841;0,401963
525;972;137;224;0,27552;0,17261;0,282223
535;1080;164;276;0,29480;0,19898;0,334861
545;1235;188;267;0,32485;0,21980;0,312163
555;1110;164;256;0,28154;0,18489;0,288614
565;1204;194;251;0,29467;0,21104;0,273049
575;1461;223;320;0,34524;0,23423;0,336108
585;1382;234;284;0,31551;0,23745;0,288185
595;1309;200;303;0,28888;0,19618;0,297217
605;1449;245;295;0,30929;0,23245;0,279883
615;1554;246;333;0,32101;0,22587;0,305746
625;1519;254;332;0,30382;0,22581;0,295151
635;1419;232;328;0,27495;0,19981;0,282484
645;1231;240;252;0,23118;0,20034;0,210353
655;1423;266;342;0,25914;0,21531;0,276828
665;1407;280;280;0,24858;0,21988;0,219878
675;1496;293;340;0,25653;0,22332;0,259143
685;1555;288;337;0,25892;0,21315;0,249412
695;1589;307;359;0,25702;0,22072;0,258103
705;1641;294;364;0,25796;0,20542;0,254326
715;1640;287;377;0,25064;0,19496;0,256093
725;1631;357;347;0,24243;0,23586;0,229257
735;1482;324;331;0,21433;0,20828;0,212776
745;1438;351;292;0,20242;0,21962;0,182700
755;1421;356;333;0,19477;0,21688;0,202871
765;1421;332;309;0,18971;0,19701;0,183360
775;1237;381;262;0,16091;0,22029;0,151484
785;1502;402;290;0,19043;0,22655;0,163429
795;1320;381;271;0,16318;0,20934;0,148904
805;1539;365;385;0,18555;0,19560;0,206319
815;1763;402;407;0,20737;0,21017;0,212789
825;1915;406;437;0,21982;0,20715;0,222969
835;2081;446;457;0,23319;0,22214;0,227622
845;2202;445;492;0,24095;0,21643;0,239289
855;2422;489;487;0,25886;0,23230;0,231349
865;2300;451;530;0,24017;0,20932;0,245988
875;2360;445;544;0,24083;0,20184;0,246748
885;2226;449;484;0,22205;0,19908;0,214600
895;2321;477;518;0,22638;0,20680;0,224572
905;2221;471;489;0,21187;0,19971;0,207340
915;2371;515;552;0,22126;0,21362;0,228965
925;2287;545;507;0,20883;0,22120;0,205777
935;2263;509;529;0,20225;0,20219;0,210138
945;2487;557;538;0,21759;0,21660;0,209214
955;2470;534;540;0,21160;0,20333;0,205617
965;2903;613;628;0,24356;0,22860;0,234195
975;2581;543;641;0,21213;0,19836;0,234164
985;2554;550;629;0,20567;0,19686;0,225139
995;2670;612;583;0,21071;0,21467;0,204501
1005;2759;623;603;0,21342;0,21420;0,207328
1015;2620;618;590;0,19869;0,20832;0,198880
1025;2622;658;576;0,19499;0,21750;0,190391
1035;2363;660;529;0,17235;0,21396;0,171493
1045;2163;642;475;0,15475;0,20416;0,151054
1055;2262;694;506;0,15878;0,21653;0,157877
1065;2070;683;464;0,14259;0,20912;0,142066
1075;2143;695;465;0,14488;0,20885;0,139736
1085;2412;748;522;0,16008;0,22066;0,153987
1095;2249;730;500;0,14655;0,21143;0,144815
1105;2158;732;519;0,13808;0,20819;0,147610
1115;2167;739;491;0,13618;0,20643;0,137153
1125;2389;793;517;0,14748;0,21759;0,141859
1135;1902;758;433;0,11536;0,20434;0,116726
1145;2036;783;488;0,12133;0,20741;0,129265
1155;0;0;0;0,00000;0,00000;0,000000
1165;0;0;0;0,00000;0,00000;0,000000
