x;y;z;E;n
-42;-3;12;0;1
-42;-2;14;0;1
-42;0;12;0;1
-42;6;12;0;1
-41;-12;12;1;1
-41;-9;13;0;1
-41;-7;12;1;1
-41;-5;13;0;1
-41;-4;16;0;1
-41;-2;11;1;1
-41;-2;12;1;1
-41;-2;14;1;1
-41;-1;12;1;1
-41;-1;13;1;1
-41;-1;16;1;1
-41;0;11;1;1
-41;2;11;1;1
-41;2;14;1;1
-41;3;16;1;1
-41;4;16;1;1
-41;5;12;1;1
-41;5;13;0;1
-41;5;15;0;1
-41;6;14;0;1
-41;7;15;1;1
-41;9;12;0;1
-40;-11;13;1;1
-40;-11;15;0;1
-40;-10;12;1;1
-40;-9;11;0;1
-40;-9;14;0;1
-40;-8;16;1;1
-40;-7;14;1;1
-40;-7;17;1;1
-40;-6;13;1;1
-40;-5;13;1;1
-40;-4;14;0;1
-40;-3;18;1;1
-40;0;11;1;1
-40;0;14;0;1
-40;0;15;1;1
-40;0;17;0;1
-40;1;11;1;1
-40;2;15;0;1
-40;2;16;0;1
-40;3;11;1;1
-40;3;13;1;1
-40;3;15;1;1
-40;3;19;0;1
-40;4;15;1;1
-40;4;18;1;1
-40;5;12;0;1
-40;5;17;0;1
-40;6;11;1;1
-40;6;12;1;1
-40;6;18;1;1
-40;7;15;1;1
-40;8;12;0;1
-40;8;14;1;1
-40;8;15;0;1
-40;8;17;1;1
-40;9;14;1;1
-40;10;12;1;1
-40;10;13;1;1
-40;13;12;0;1
-40;15;12;0;1
-39;-15;12;0;1
-39;-15;15;1;1
-39;-13;13;1;1
-39;-13;16;0;1
-39;-11;15;1;1
-39;-10;11;0;1
-39;-10;13;0;1
-39;-8;12;1;1
-39;-8;15;0;1
-39;-8;19;1;1
-39;-7;14;0;1
-39;-7;17;0;1
-39;-6;11;0;1
-39;-6;12;1;1
-39;-6;13;0;1
-39;-5;12;1;1
-39;-5;19;0;1
-39;-4;12;0;1
-39;-4;13;1;1
-39;-4;15;1;1
-39;-3;18;1;1
-39;-2;15;0;1
-39;-2;18;0;1
-39;-1;18;0;1
-39;-1;21;0;1
-39;1;11;1;1
-39;1;13;0;1
-39;1;14;0;1
-39;1;17;1;1
-39;1;18;1;1
-39;2;11;0;1
-39;2;13;1;1
-39;3;18;1;1
-39;4;13;1;1
-39;4;14;0;1
-39;4;16;1;1
-39;5;19;0;1
-39;6;19;0;1
-39;7;14;0;1
-39;7;16;0;1
-39;7;17;1;1
-39;8;16;1;1
-39;8;18;1;1
-39;10;14;1;1
-39;10;18;1;1
-39;11;12;1;1
-39;11;13;1;1
-39;11;14;0;1
-39;11;18;0;1
-39;12;12;1;1
-39;12;14;0;1
-39;14;12;0;1
-39;16;12;1;1
-38;-17;12;0;1
-38;-17;15;0;1
-38;-16;13;0;1
-38;-15;15;0;1
-38;-13;14;1;1
-38;-12;14;0;1
-38;-12;17;1;1
-38;-12;19;1;1
-38;-10;12;1;1
-38;-10;14;1;1
-38;-10;17;1;1
-38;-9;14;1;1
-38;-9;17;1;1
-38;-9;19;1;1
-38;-8;17;1;1
-38;-8;18;0;1
-38;-7;13;0;1
-38;-7;16;0;1
-38;-7;18;0;1
-38;-7;19;1;1
-38;-7;20;1;1
-38;-6;12;0;1
-38;-6;19;0;1
-38;-6;21;0;1
-38;-6;22;0;1
-38;-5;12;0;1
-38;-5;13;0;1
-38;-5;20;0;1
-38;-4;13;1;1
-38;-4;14;0;1
-38;-2;19;0;1
-38;-2;20;0;1
-38;-2;21;1;1
-38;-1;12;0;1
-38;-1;19;0;1
-38;-1;22;0;1
-38;0;13;0;1
-38;0;15;1;1
-38;1;15;1;1
-38;1;19;0;1
-38;1;22;1;1
-38;2;15;1;1
-38;2;21;1;1
-38;3;11;0;1
-38;3;22;1;1
-38;5;12;1;1
-38;5;15;1;1
-38;5;16;0;1
-38;5;17;0;1
-38;5;18;1;1
-38;5;21;1;1
-38;6;12;1;1
-38;6;15;0;1
-38;6;20;1;1
-38;7;12;0;1
-38;7;18;1;1
-38;8;14;1;1
-38;10;14;0;1
-38;10;17;0;1
-38;11;12;0;1
-38;11;14;0;1
-38;11;19;0;1
-38;12;13;0;1
-38;15;11;1;1
-38;18;13;1;1
-37;-19;12;0;1
-37;-19;15;0;1
-37;-16;12;0;1
-37;-16;14;1;1
-37;-15;11;0;1
-37;-15;18;1;1
-37;-14;12;0;1
-37;-13;16;1;1
-37;-13;18;0;1
-37;-13;20;0;1
-37;-12;19;0;1
-37;-12;21;1;1
-37;-11;14;0;1
-37;-11;16;0;1
-37;-10;15;1;1
-37;-10;20;0;1
-37;-10;22;1;1
-37;-9;11;0;1
-37;-9;12;0;1
-37;-9;13;1;1
-37;-9;16;0;1
-37;-9;18;1;1
-37;-9;19;0;1
-37;-8;13;1;1
-37;-8;15;1;1
-37;-8;18;0;1
