;-10;-9,9;-9,8;-9,7;-9,6;-9,5;-9,4;-9,3;-9,2;-9,1;-9;-8,9;-8,8;-8,7;-8,6;-8,5;-8,4;-8,3;-8,2;-8,1;-8;-7,9;-7,8;-7,7;-7,6;-7,5;-7,4;-7,3;-7,2;-7,1;-7;-6,9;-6,8;-6,7;-6,6;-6,5;-6,4;-6,3;-6,2;-6,1;-6;-5,9;-5,8;-5,7;-5,6;-5,5;-5,4;-5,3;-5,2;-5,1;-5;-4,9;-4,8;-4,7;-4,6;-4,5;-4,4;-4,3;-4,2;-4,1;-4;-3,9;-3,8;-3,7;-3,6;-3,5;-3,4;-3,3;-3,2;-3,1;-3;-2,9;-2,8;-2,7;-2,6;-2,5;-2,4;-2,3;-2,2;-2,1;-2;-1,9;-1,8;-1,7;-1,6;-1,5;-1,4;-1,3;-1,2;-1,1;-1;-0,9;-0,8;-0,7;-0,6;-0,5;-0,4;-0,3;-0,2;-0,1;-1,87905E-14;Máximo
0,000;51,7%;51,6%;51,7%;51,7%;51,6%;51,6%;51,6%;51,6%;51,5%;51,7%;51,9%;51,8%;52,0%;52,1%;52,4%;52,5%;52,7%;52,8%;52,8%;53,0%;52,8%;52,9%;53,0%;53,2%;53,1%;53,1%;53,0%;53,1%;53,2%;53,2%;53,2%;53,2%;53,1%;53,2%;53,2%;53,2%;53,2%;53,5%;53,6%;53,8%;53,9%;53,9%;53,9%;53,8%;54,1%;54,1%;54,3%;54,5%;54,8%;54,9%;55,0%;55,1%;55,0%;55,2%;55,6%;55,9%;56,1%;56,1%;56,4%;56,6%;56,8%;57,2%;57,5%;57,6%;57,8%;58,1%;58,4%;58,6%;58,7%;58,9%;59,3%;59,7%;60,2%;60,2%;60,7%;61,1%;61,5%;61,8%;62,2%;62,4%;62,8%;63,1%;63,5%;63,8%;64,1%;64,5%;65,0%;65,5%;65,8%;66,4%;67,1%;68,4%;69,2%;69,9%;69,9%;69,9%;69,9%;69,9%;69,9%;69,9%;69,9%;69,9%
0,017;52,0%;51,9%;51,9%;51,9%;51,8%;51,7%;51,7%;51,8%;51,8%;51,9%;52,1%;51,9%;52,0%;52,2%;52,4%;52,5%;52,5%;52,7%;52,6%;52,7%;52,5%;52,6%;52,7%;53,0%;53,0%;53,2%;53,2%;53,2%;53,2%;53,3%;53,3%;53,4%;53,5%;53,4%;53,4%;53,5%;53,3%;53,4%;53,6%;53,6%;53,8%;53,8%;53,7%;53,8%;53,9%;54,1%;54,4%;54,4%;54,7%;55,1%;55,1%;55,3%;55,3%;55,4%;55,6%;55,8%;56,0%;56,1%;56,3%;56,7%;57,0%;57,4%;57,5%;57,6%;57,9%;58,5%;58,7%;58,9%;59,0%;59,1%;59,6%;59,9%;60,3%;60,5%;60,8%;61,2%;61,5%;61,9%;62,3%;62,4%;62,9%;62,8%;63,2%;63,5%;64,0%;64,3%;64,6%;65,2%;65,5%;66,4%;67,1%;68,3%;69,2%;69,9%;69,9%;69,9%;69,9%;69,9%;69,9%;69,9%;69,9%;69,9%
0,033;52,0%;52,0%;52,1%;51,9%;51,8%;52,0%;52,0%;52,0%;51,9%;52,0%;52,3%;52,1%;52,2%;52,4%;52,6%;52,5%;52,6%;52,5%;52,5%;52,8%;52,7%;52,6%;52,7%;52,8%;52,9%;53,0%;53,0%;53,2%;53,2%;53,2%;53,2%;53,3%;53,3%;53,4%;53,3%;53,2%;53,2%;53,4%;53,4%;53,5%;53,6%;53,6%;53,6%;53,6%;53,9%;54,0%;54,4%;54,6%;55,0%;55,0%;55,2%;55,4%;55,3%;55,5%;55,7%;55,7%;56,0%;55,8%;56,2%;56,6%;56,9%;57,3%;57,6%;57,7%;57,9%;58,6%;58,9%;59,1%;59,1%;59,4%;59,6%;59,9%;60,4%;60,7%;60,9%;61,2%;61,6%;62,0%;62,4%;62,5%;62,7%;62,9%;63,1%;63,5%;63,6%;64,0%;64,3%;64,7%;65,2%;66,1%;67,0%;68,1%;69,1%;69,8%;69,9%;69,9%;69,9%;69,9%;69,9%;69,9%;69,9%;69,9%
0,050;51,9%;51,9%;52,0%;52,0%;52,0%;52,1%;52,1%;52,1%;52,0%;52,1%;52,4%;52,1%;52,3%;52,6%;52,6%;52,7%;52,7%;52,8%;52,8%;52,9%;52,9%;52,8%;52,8%;52,9%;53,0%;53,0%;53,0%;52,8%;52,9%;53,2%;53,2%;53,2%;53,3%;53,2%;53,3%;53,2%;53,1%;53,4%;53,6%;53,5%;53,6%;53,7%;53,9%;53,9%;54,0%;54,1%;54,4%;54,7%;55,1%;55,1%;55,3%;55,5%;55,5%;55,5%;55,8%;55,9%;56,0%;55,9%;56,2%;56,5%;56,8%;57,2%;57,3%;57,5%;57,9%;58,4%;58,7%;59,0%;58,9%;59,2%;59,5%;59,9%;60,4%;60,7%;61,1%;61,3%;61,7%;62,0%;62,4%;62,6%;62,7%;62,8%;62,7%;63,0%;63,3%;63,5%;63,5%;63,9%;64,4%;65,0%;66,1%;67,4%;68,0%;68,9%;69,5%;69,7%;69,8%;69,8%;69,9%;69,8%;69,9%;69,9%
0,067;51,6%;51,6%;51,6%;51,7%;51,6%;51,8%;51,8%;51,9%;52,0%;52,1%;52,3%;52,1%;52,3%;52,3%;52,4%;52,5%;52,5%;52,8%;52,8%;52,9%;52,8%;52,6%;52,5%;52,6%;52,6%;52,7%;52,8%;52,8%;52,8%;53,1%;53,1%;53,1%;53,1%;53,2%;53,2%;53,3%;53,3%;53,6%;53,7%;53,7%;53,9%;54,0%;54,1%;54,0%;54,3%;54,4%;54,7%;54,8%;55,1%;55,2%;55,2%;55,4%;55,4%;55,6%;55,8%;56,0%;55,9%;55,8%;56,0%;56,4%;56,4%;56,8%;57,2%;57,5%;57,8%;58,1%;58,4%;58,7%;58,7%;59,1%;59,3%;59,8%;60,3%;60,6%;60,9%;61,2%;61,6%;61,9%;62,1%;62,3%;62,4%;62,4%;62,6%;62,7%;63,0%;63,2%;63,2%;63,6%;63,9%;64,4%;65,0%;65,8%;66,5%;67,3%;67,8%;68,0%;68,2%;68,3%;68,5%;68,5%;68,5%;68,5%
0,083;51,4%;51,4%;51,5%;51,5%;51,5%;51,6%;51,6%;51,6%;51,7%;51,9%;52,1%;52,0%;52,2%;52,4%;52,5%;52,6%;52,5%;52,6%;52,8%;52,8%;52,8%;52,8%;52,7%;52,8%;52,8%;52,9%;52,9%;53,0%;53,0%;53,4%;53,4%;53,4%;53,5%;53,4%;53,6%;53,6%;53,6%;53,7%;53,9%;54,0%;54,1%;54,1%;54,1%;54,2%;54,2%;54,3%;54,4%;54,7%;54,9%;55,0%;55,2%;55,2%;55,2%;55,4%;55,6%;55,7%;55,7%;55,7%;55,9%;56,1%;56,4%;56,8%;57,0%;57,2%;57,5%;57,9%;58,1%;58,4%;58,5%;58,8%;59,2%;59,7%;60,1%;60,4%;60,8%;61,0%;61,4%;61,7%;62,0%;62,1%;62,1%;62,3%;62,3%;62,6%;62,7%;62,8%;62,9%;63,1%;63,5%;63,8%;64,2%;65,0%;65,5%;65,9%;66,2%;66,4%;66,7%;67,0%;67,0%;67,2%;67,2%;67,2%
0,100;51,4%;51,4%;51,7%;51,8%;51,6%;51,7%;51,7%;51,6%;51,6%;51,8%;52,0%;52,0%;52,2%;52,3%;52,5%;52,5%;52,7%;52,9%;52,8%;52,9%;52,9%;52,8%;52,8%;52,8%;52,8%;52,9%;53,2%;53,2%;53,2%;53,4%;53,5%;53,6%;53,7%;53,8%;53,7%;53,7%;53,8%;53,8%;54,1%;54,1%;54,2%;54,1%;54,1%;54,3%;54,4%;54,3%;54,6%;54,6%;54,9%;54,8%;55,1%;55,2%;55,3%;55,6%;55,6%;55,8%;55,8%;55,9%;56,0%;56,3%;56,5%;56,6%;56,9%;57,1%;57,4%;57,6%;57,6%;58,1%;58,3%;58,5%;58,9%;59,4%;59,9%;60,3%;60,6%;60,9%;61,2%;61,5%;61,8%;61,9%;62,0%;62,2%;62,3%;62,5%;62,7%;62,8%;62,8%;63,1%;63,4%;63,7%;64,0%;64,4%;64,7%;65,1%;65,3%;65,4%;65,6%;65,7%;66,0%;66,1%;66,0%;66,1%
0,117;51,7%;51,6%;51,7%;51,7%;51,6%;51,8%;51,8%;52,0%;52,0%;52,0%;52,2%;52,2%;52,5%;52,5%;52,5%;52,5%;52,7%;52,7%;52,7%;52,7%;52,6%;52,7%;52,7%;52,9%;53,0%;53,0%;53,0%;53,0%;53,1%;53,5%;53,5%;53,5%;53,5%;53,6%;53,6%;53,8%;53,8%;53,9%;53,8%;53,8%;53,9%;54,0%;54,0%;54,1%;54,2%;54,1%;54,4%;54,6%;54,7%;54,8%;55,0%;55,0%;55,1%;55,1%;55,5%;55,7%;55,9%;55,9%;56,1%;56,4%;56,6%;56,9%;56,9%;56,9%;57,1%;57,5%;57,7%;58,0%;58,3%;58,6%;59,0%;59,3%;59,8%;60,1%;60,4%;60,7%;61,2%;61,3%;61,7%;61,8%;62,1%;62,1%;62,2%;62,4%;62,5%;62,5%;62,6%;62,8%;63,1%;63,3%;63,6%;64,0%;64,3%;64,7%;64,6%;64,8%;64,7%;64,8%;64,7%;64,8%;64,9%;64,9%
0,133;51,7%;51,8%;52,0%;52,1%;51,9%;52,1%;51,9%;52,1%;52,2%;52,2%;52,4%;52,2%;52,4%;52,4%;52,6%;52,5%;52,5%;52,5%;52,6%;52,7%;52,7%;52,7%;52,7%;52,7%;52,7%;52,8%;52,9%;52,9%;52,9%;53,3%;53,3%;53,3%;53,4%;53,3%;53,4%;53,3%;53,3%;53,4%;53,6%;53,6%;53,6%;53,7%;53,7%;53,7%;53,9%;53,9%;54,2%;54,3%;54,4%;54,6%;54,5%;54,8%;54,9%;55,0%;55,3%;55,6%;55,7%;55,7%;56,0%;56,3%;56,6%;56,7%;57,0%;57,2%;57,5%;57,8%;57,9%;58,2%;58,3%;58,5%;58,7%;59,0%;59,5%;59,7%;60,1%;60,6%;60,8%;61,0%;61,3%;61,6%;61,8%;62,0%;62,1%;62,4%;62,4%;62,5%;62,6%;62,7%;63,0%;63,2%;63,3%;63,6%;63,8%;64,2%;64,2%;64,2%;64,2%;64,3%;64,4%;64,5%;64,7%;64,7%
0,150;52,0%;51,9%;52,0%;52,0%;52,0%;52,3%;52,3%;52,3%;52,2%;52,2%;52,4%;52,2%;52,4%;52,4%;52,6%;52,4%;52,5%;52,6%;52,4%;52,5%;52,5%;52,3%;52,3%;52,6%;52,6%;52,8%;52,9%;52,8%;52,9%;53,2%;53,1%;53,0%;53,0%;53,1%;53,0%;53,1%;53,2%;53,3%;53,6%;53,4%;53,4%;53,5%;53,5%;53,7%;53,7%;53,6%;53,8%;53,9%;53,9%;53,9%;54,2%;54,5%;54,7%;54,9%;55,1%;55,3%;55,4%;55,5%;55,7%;56,2%;56,5%;56,7%;56,9%;57,1%;57,5%;57,7%;57,7%;57,8%;57,8%;58,1%;58,4%;58,7%;58,9%;59,2%;59,5%;59,8%;60,1%;60,5%;60,8%;60,9%;61,3%;61,3%;61,5%;62,0%;62,1%;62,1%;62,0%;62,2%;62,4%;62,6%;62,8%;63,1%;63,4%;63,5%;63,8%;63,9%;63,9%;63,9%;63,9%;64,0%;63,9%;64,0%
0,167;52,4%;52,2%;52,3%;52,3%;52,2%;52,4%;52,4%;52,6%;52,4%;52,3%;52,4%;52,5%;52,5%;52,5%;52,6%;52,5%;52,5%;52,6%;52,5%;52,4%;52,7%;52,6%;52,6%;52,8%;52,7%;52,8%;52,9%;52,8%;52,8%;53,0%;52,9%;52,6%;52,9%;53,0%;52,9%;53,0%;53,0%;53,3%;53,5%;53,3%;53,4%;53,4%;53,4%;53,5%;53,5%;53,5%;53,7%;53,8%;53,8%;53,9%;54,2%;54,6%;54,8%;54,8%;55,0%;55,2%;55,4%;55,5%;55,8%;56,0%;56,4%;56,8%;56,8%;57,0%;57,2%;57,4%;57,5%;57,7%;57,7%;57,9%;58,1%;58,3%;58,8%;58,8%;59,2%;59,5%;60,0%;60,3%;60,5%;60,5%;60,8%;60,9%;61,0%;61,5%;61,6%;61,6%;61,6%;61,8%;61,9%;62,2%;62,4%;62,9%;63,0%;63,1%;63,1%;63,2%;63,2%;63,2%;63,3%;63,2%;63,2%;63,3%
