x;y;z;E;n
-16;-1;35;0;1
-32;-10;25;0;1
-15;-23;21;1;1
-23;3;32;0;1
-23;-23;26;0;1
-33;8;19;1;1
-16;27;32;1;1
-18;-11;30;0;1
-30;17;17;0;1
-21;-16;22;1;1
-18;-2;37;1;1
-19;-20;36;1;1
-41;9;13;0;1
-34;23;20;1;1
-17;-22;33;0;1
-23;20;25;0;1
-16;12;27;0;1
-22;-30;10;0;1
-19;-7;37;0;1
-16;-26;24;0;1
-11;17;34;0;1
-29;0;26;0;1
-37;2;26;0;1
-42;9;18;0;1
-28;-32;17;0;1
-25;-10;36;1;1
-26;-6;30;0;1
-14;-9;30;1;1
-31;19;13;1;1
-21;-19;32;1;1
-24;-7;28;0;1
-39;1;13;0;1
-15;-21;28;1;1
-33;12;28;0;1
-33;-6;21;1;1
-17;-17;27;0;1
-29;16;28;0;1
-32;5;25;0;1
-30;-20;20;1;1
-17;-25;23;1;1
-32;-17;25;1;1
-39;-3;13;1;1
-39;-20;13;0;1
-23;33;15;0;1
-17;24;17;1;1
-37;-8;24;1;1
-18;-25;20;0;1
-21;16;36;1;1
-13;-1;35;1;1
-32;-5;20;1;1
-19;0;30;1;1
-33;8;16;1;1
-15;4;41;1;1
-20;-13;35;0;1
-43;-12;13;1;1
-25;21;13;0;1
-35;14;16;0;1
-16;10;33;0;1
-32;7;25;0;1
-37;-3;13;0;1
-20;2;34;1;1
-12;6;34;1;1
-25;11;33;1;1
-22;-6;37;0;1
-35;-7;11;0;1
-19;-12;40;1;1
-16;-17;36;0;1
-18;19;35;1;1
-10;-12;35;0;1
-8;-11;32;1;1
-31;-17;22;1;1
-22;5;40;0;1
-29;-18;17;1;1
-14;20;37;0;1
-22;1;32;1;1
-13;-18;27;1;1
-30;8;31;1;1
-26;-18;24;0;1
-34;-6;25;1;1
-30;-19;23;1;1
-20;-26;28;1;1
-19;4;32;1;1
-11;-12;32;0;1
-38;-6;14;0;1
-15;11;28;1;1
-29;11;27;0;1
-35;11;28;0;1
-34;14;11;0;1
-33;10;18;1;1
-22;26;21;0;1
-21;13;38;1;1
-26;12;18;0;1
-8;13;30;0;1
-32;-20;14;1;1
-36;-7;11;1;1
-31;-23;23;1;1
-25;9;26;0;1
-28;8;25;1;1
-25;-29;24;0;1
-36;-23;14;0;1
-33;24;17;0;1
-11;-12;40;1;1
-20;-32;15;1;1
-13;9;38;1;1
-12;17;41;1;1
-35;-12;12;0;1
-16;-20;34;1;1
-12;12;36;1;1
-37;-3;11;1;1
-38;1;24;0;1
-32;-18;28;0;1
-21;-17;36;0;1
-20;-12;38;1;1
-13;-17;26;1;1
-29;23;17;0;1
-12;-18;26;1;1
-10;14;36;0;1
-26;-12;32;0;1
-20;7;39;0;1
-19;2;29;0;1
-22;-30;17;1;1
-21;17;30;1;1
-23;26;15;0;1
-30;29;15;0;1
-30;-6;30;1;1
-19;10;38;1;1
