x;y;z;E;n
-13;21;9;1;15
-26;16;16;1;4
-12;-4;28;1;3
-18;-8;28;0;0
-18;-23;23;1;6
-26;-6;21;0;0
-12;-6;29;0;0
-14;-13;19;1;6
-23;-26;12;0;0
-17;16;23;1;2
-14;-8;30;0;0
-15;-8;19;1;5
-33;-1;13;1;5
-27;8;8;1;10
-14;21;12;1;2
-18;4;19;1;3
-12;-17;25;0;0
-18;16;29;0;0
-15;0;29;1;2
-13;6;33;0;0
-8;-10;26;0;0
-23;3;13;0;0
-30;8;10;1;3
-34;2;17;0;0
-23;24;16;1;2
-20;8;20;1;2
-21;19;20;1;2
-11;-3;25;0;0
-24;-12;27;1;26
-17;15;18;1;1
-19;-2;29;0;0
-32;15;11;0;0
-12;-2;30;0;0
-26;-3;22;1;6
-26;-18;15;0;0
-14;23;20;0;0
-23;13;14;1;5
-25;-14;20;1;1
-24;-2;16;1;1
-14;19;15;1;5
-26;10;24;0;0
-32;10;10;1;12
-32;0;9;1;5
-18;13;15;1;2
-13;-1;32;1;2
-30;0;12;1;10
-14;-21;14;0;0
-16;-21;24;1;2
-10;-8;28;0;0
-26;22;17;1;1
-15;4;29;1;2
-26;-6;19;1;4
-12;14;32;0;0
-16;8;21;1;4
-35;-10;10;1;9
-20;28;16;0;0
-28;7;20;1;1
-12;-18;27;1;1
-25;-12;17;0;0
-30;3;16;1;1
-16;16;16;0;0
-9;-13;34;0;0
-20;19;17;1;2
-17;-23;19;1;2
-28;-8;18;0;0
-15;-3;26;1;8
-13;13;25;1;1
-14;6;23;1;12
-8;9;22;0;0
-6;-10;29;0;0
-25;5;28;1;2
-17;-17;12;1;3
-23;-8;7;0;0
-11;16;17;1;2
-17;-19;9;0;0
-10;-16;16;0;0
-24;16;20;1;2
-21;12;13;0;0
-27;-12;23;1;13
-24;-1;8;0;0
-16;-2;23;1;4
-15;7;19;1;19
-9;11;25;1;3
-31;4;17;1;5
-12;18;12;0;0
-23;9;23;1;2
-28;6;12;0;0
-27;3;8;1;1
-26;-4;9;0;0
-17;-4;29;1;3
-16;-22;8;1;9
-20;-22;20;1;5
-6;8;23;0;0
-26;8;20;1;3
-29;-4;23;1;3
-25;2;26;0;0
-20;18;8;1;1
-22;-2;26;1;3
-20;-6;30;0;0
-29;-13;16;0;0
-26;3;22;1;1
-9;11;30;0;0
-16;-7;18;1;2
-10;-3;24;1;2
-9;-5;26;0;0
-28;-12;20;1;19
-13;11;25;1;14
-9;-10;29;0;0
-30;3;13;0;0
-31;10;19;0;0
-26;10;16;0;0
-17;16;19;0;0
-16;8;32;0;0
-10;-16;24;1;5
-23;18;10;1;6
-10;13;19;1;4
-8;13;31;0;0
-21;16;8;0;0
-16;18;21;0;0
-15;5;29;0;0
-18;17;7;0;0
-16;-20;8;1;11
-18;8;28;0;0
-23;-16;14;0;0
-24;7;13;1;1
-15;10;31;0;0
-17;-16;14;0;0
-28;-15;17;0;0
-13;-21;17;1;14
-22;0;14;1;1
-21;-28;11;0;0
-11;-11;28;0;0
-9;-14;22;1;1
-30;-18;15;1;10
-30;11;14;0;0
-16;23;11;0;0
-31;12;14;0;0
-33;8;16;0;0
-30;14;17;1;1
-15;20;27;0;0
-20;-12;17;1;1
-27;3;21;0;0
-29;-13;18;1;1
-28;8;21;1;7
-21;-3;30;0;0
-33;-9;11;0;0
-15;-14;26;0;0
-31;4;19;1;3
-13;-7;20;0;0
-28;8;18;1;1
-25;12;18;0;0
-31;2;16;0;0
-17;-5;18;0;0
-16;10;20;0;0
-21;16;27;0;0
-20;10;27;1;12
-23;13;23;0;0
-22;-9;15;1;1
-17;-16;9;1;4
-26;-9;16;0;0
-21;26;13;0;0
-15;-22;8;1;8
-28;-2;11;1;6
-17;20;11;0;0
-17;-27;15;0;0
-24;2;19;0;0
-16;-3;28;0;0
-17;-5;21;1;1
-13;2;33;0;0
-18;15;19;1;5
-12;6;23;1;6
-9;-14;32;0;0
-22;-14;14;0;0
-10;-9;30;0;0
-24;-11;24;1;2
-21;8;16;1;2
-18;-5;29;1;1
-20;-24;18;0;0
-12;-18;30;0;0
-24;-7;24;0;0
-33;-1;14;1;4
-18;-18;27;0;0
-25;24;10;0;0
-16;-20;24;1;2
-28;2;15;1;2
-23;23;11;0;0
-25;11;13;1;1
-25;-7;15;1;3
-18;-12;18;1;2
-19;17;15;1;1
-22;-13;11;0;0
-17;14;15;1;2
-22;-17;15;1;13
-12;-6;26;0;0
-24;17;14;1;4
-15;-24;17;1;4
-32;8;13;1;2
-22;12;14;0;0
-20;0;29;1;7
-27;-23;11;1;2
-24;6;28;0;0
-29;-7;10;1;1
-26;-7;25;1;2
-25;-22;11;0;0
-25;-5;25;0;0
-24;1;27;0;0
-17;13;24;1;6
-16;-6;23;0;0
-21;-4;18;0;0
-34;-2;13;1;4
-12;15;27;1;1
-12;-16;22;0;0
-20;4;21;1;5
-23;17;20;0;0
-27;9;16;0;0
-12;-17;19;0;0
-20;-25;13;1;1
-21;-14;8;1;5
-19;-7;30;1;1
-24;-22;14;0;0
-32;3;14;0;0
-20;-27;11;1;1
-31;12;9;0;0
-24;-7;23;0;0
-25;-3;22;1;2
-26;17;15;1;2
-18;-21;24;0;0
-20;-12;27;0;0
-18;27;19;0;0
-19;-17;20;1;3
-22;19;24;0;0
-26;-7;10;1;2
-9;11;27;0;0
-16;16;29;1;5
-8;-6;24;0;0
-11;-3;29;1;2
-22;0;13;1;1
-32;15;13;0;0
-21;8;23;1;14
-13;-20;15;0;0
-16;-27;14;1;4
-19;-7;16;0;0
-14;-19;9;1;28
-18;-21;23;0;0
-17;3;31;1;2
-20;-3;31;0;0
-27;5;14;1;1
-34;8;13;1;2
-16;-2;20;1;14
-21;-15;26;0;0
-25;21;9;0;0
-18;-2;24;0;0
-13;4;23;1;3
-25;-17;10;1;10
-29;12;20;0;0
-14;16;22;1;4
-32;-1;16;1;1
-11;-18;17;0;0
-8;-10;23;0;0
-33;0;18;0;0
-16;-12;32;1;6
-26;-21;18;1;3
-30;0;22;1;6
-12;15;31;1;1
-18;-16;10;0;0
-16;-10;27;0;0
-12;15;25;1;1
-15;9;24;1;2
-22;-15;18;0;0
-25;3;18;0;0
-20;-14;9;0;0
-21;-13;10;1;1
-9;11;33;0;0
-16;-8;33;0;0
-19;26;20;1;1
-20;-12;13;1;6
-17;16;27;0;0
-21;24;13;1;2
-18;10;30;0;0
-15;-22;23;0;0
-31;-5;11;0;0
-19;20;15;0;0
-15;11;17;1;8
-26;-1;7;0;0
-24;-26;13;1;7
-14;-6;29;0;0
-23;-5;26;0;0
-15;-21;11;1;3
-18;10;29;0;0
-27;-10;24;1;8
-12;-6;32;0;0
-20;-18;15;1;1
-31;11;14;0;0
-21;-12;18;1;8
-28;0;9;0;0
-20;4;19;0;0
-21;24;19;0;0
-12;-6;30;0;0
-7;10;31;0;0
-10;12;26;0;0
-18;-17;17;1;5
-22;3;18;0;0
-18;27;11;1;2
-21;14;25;0;0
-10;-11;20;0;0
-14;23;10;0;0
-18;22;14;1;3
-27;-23;10;1;1
-17;-16;18;0;0
-18;14;28;1;2
-28;19;13;0;0
-19;8;21;0;0
-24;-1;24;1;3
-25;-10;17;0;0
-9;-3;24;0;0
-28;-1;8;0;0
-22;15;11;0;0
-13;18;29;1;1
-18;27;18;0;0
-15;21;7;1;23
-22;-26;15;1;2
-27;-8;24;0;0
-27;-13;12;1;6
-26;16;13;0;0
-23;15;17;1;1
-35;0;10;1;3
-22;-21;18;1;3
-19;-14;12;0;0
-19;23;14;1;1
-30;1;12;1;1
-33;-8;11;0;0
-15;24;21;0;0
-20;-24;9;0;0
-17;-4;30;1;1
-27;-15;10;0;0
-17;-14;28;0;0
-11;19;19;0;0
-24;15;25;1;1
-25;9;15;1;1
-21;-11;11;0;0
-27;10;23;0;0
-26;-17;21;0;0
-29;-5;12;0;0
-7;11;27;0;0
