Galaxias;Celdas;Ocup.Med;Ocupadas;Ocup.Az;Ocup.AzAj
56921;25295;4,5018;12644;12760;12717
Den. = milesimas de galaxia por Mal al cubo
Dist.;Numero;Cel.Ocup;Cel.Ocup;;;
10^6al;Galaxias;Azar;Azar.Aj;Den.;Den.Az;Den.AzAj
605;1031;149;242;0,30740;0,19999;0,324822
615;1266;192;289;0,36529;0,24940;0,375396
625;1137;184;252;0,31765;0,23142;0,316944
635;1107;196;276;0,29961;0,23881;0,336282
645;1220;212;269;0,32003;0,25036;0,317669
655;915;181;217;0,23275;0,20727;0,248496
665;1051;219;229;0,25937;0,24330;0,254411
675;1127;226;254;0,26994;0,24369;0,273886
685;1300;216;287;0,30236;0,22616;0,300500
695;1192;220;265;0,26932;0,22377;0,269538
705;1229;265;267;0,26985;0,26195;0,263923
715;1340;255;291;0,28605;0,24506;0,279657
725;1256;261;286;0,26078;0,24395;0,267322
735;1038;262;204;0,20969;0,23827;0,185524
745;1041;268;225;0,20469;0,23723;0,199166
755;1106;329;239;0,21175;0,28356;0,205991
765;964;292;209;0,17977;0,24513;0,175456
775;990;300;208;0,17988;0,24539;0,170140
785;1041;307;228;0,18436;0,24476;0,181778
795;954;286;211;0,16473;0,22232;0,164019
805;1321;326;295;0,22247;0,24716;0,223654
815;1476;336;314;0,24251;0,24852;0,232252
825;1621;329;356;0,25992;0,23748;0,256973
835;1755;365;385;0,27470;0,25720;0,271290
845;1535;317;338;0,23461;0,21812;0,232568
855;1999;354;453;0,29843;0,23791;0,304447
865;1869;359;418;0,27261;0,23573;0,274467
875;1709;345;427;0,24360;0,22139;0,274005
885;1702;368;368;0,23715;0,23084;0,230838
895;1767;413;403;0,24074;0,25331;0,247176
905;1678;411;363;0,22359;0,24654;0,217749
915;1417;369;314;0,18471;0,21654;0,184261
925;1574;431;367;0,20076;0,24748;0,210732
935;1682;450;352;0,20997;0,25289;0,197818
945;1691;420;390;0,20665;0,23106;0,214560
955;1843;470;389;0,22054;0,25319;0,209551
965;1828;448;409;0,21423;0,23636;0,215782
975;2049;458;457;0,23523;0,23670;0,236186
985;1761;429;425;0,19808;0,21724;0,215211
995;2339;542;546;0,25784;0,26897;0,270953
1005;0;0;0;0,00000;0,00000;0,000000
1015;0;0;0;0,00000;0,00000;0,000000
