x;y;z;E;n
-17;17;33;0;1
-30;-5;28;1;1
-16;-8;23;0;1
-22;-21;14;0;1
-23;16;29;1;1
-31;14;13;1;1
-16;-10;25;0;1
-18;-20;34;0;1
-28;9;27;0;1
-21;3;28;0;1
-18;-15;20;1;1
-19;-17;25;0;1
-38;-8;15;1;1
-31;-17;13;0;1
-18;14;37;1;1
-22;-11;14;1;1
-16;-20;21;0;1
-22;2;25;0;1
-19;-10;30;1;1
-17;1;27;0;1
-12;4;26;1;1
-27;-10;26;0;1
-35;13;25;0;1
-39;-6;20;0;1
-27;10;34;0;1
-24;-7;37;1;1
-25;7;17;0;1
-15;-3;25;0;1
-29;17;18;1;1
-21;1;38;0;1
-23;-16;19;1;1
-37;12;23;1;1
-16;-6;24;1;1
-31;18;26;0;1
-31;0;26;0;1
-18;17;23;1;1
-27;1;35;0;1
-30;9;13;1;1
-28;-20;17;1;1
-18;12;30;1;1
-30;-10;12;0;1
-37;8;16;0;1
-37;-4;14;1;1
-22;-3;34;1;1
-17;-8;39;1;1
-35;3;20;1;1
-19;20;21;1;1
-21;21;19;0;1
-14;-6;32;1;1
-30;-1;33;0;1
-19;-6;22;0;1
-31;13;28;0;1
-16;13;32;0;1
-20;-4;19;1;1
-41;-2;18;1;1
-24;11;32;1;1
-32;-22;17;1;1
-17;22;26;1;1
-30;11;13;0;1
-35;7;20;1;1
-20;4;38;1;1
-13;-10;22;1;1
-24;5;33;1;1
-22;18;13;0;1
-33;2;16;1;1
-19;-13;38;0;1
-17;9;27;1;1
-18;-3;33;1;1
-12;14;31;1;1
-10;11;29;0;1
-29;-13;22;1;1
-22;24;27;0;1
-27;-27;14;1;1
-15;17;31;0;1
-22;21;31;0;1
-14;-16;30;1;1
-28;2;33;1;1
-25;-1;35;1;1
-32;2;20;1;1
-28;-19;19;1;1
-20;-13;17;0;1
-19;-4;29;1;1
-13;16;21;1;1
-36;5;19;1;1
-16;16;35;1;1
-27;-2;13;1;1
-33;25;16;1;1
-32;23;19;0;1
-31;16;14;0;1
-21;-16;22;1;1
-21;19;24;1;1
-25;17;25;1;1
-9;-11;26;1;1
-30;-13;17;1;1
-34;2;30;1;1
-29;-18;29;1;1
-24;4;23;1;1
-26;-14;30;1;1
-24;-19;20;0;1
-34;-8;21;0;1
-30;-21;22;1;1
-13;16;28;0;1
-20;-18;35;0;1
-14;3;28;1;1
-13;8;24;0;1
-33;-3;30;1;1
-17;7;25;1;1
-13;-5;27;1;1
-35;7;18;0;1
-36;13;18;1;1
-30;-11;20;0;1
-21;3;25;0;1
-20;-4;35;1;1
-14;-15;18;1;1
-27;6;18;0;1
-14;16;34;0;1
-11;-10;26;0;1
-25;3;37;0;1
-20;7;39;1;1
-19;-5;22;1;1
-22;2;30;1;1
-21;21;28;0;1
-22;-7;23;1;1
-28;17;19;1;1
-28;-8;32;0;1
-19;0;26;0;1
-22;26;23;1;1
-33;-6;29;1;1
-18;20;18;0;1
-26;-12;19;1;1
-26;13;29;1;1
-15;-12;24;1;1
-13;-13;37;1;1
-35;-17;19;1;1
-35;20;15;1;1
-20;13;19;0;1
-36;15;23;1;1
-38;3;18;1;1
-34;-19;17;0;1
-19;12;22;1;1
-24;-29;20;0;1
-32;26;16;0;1
-34;-8;22;0;1
-32;-20;18;1;1
-25;-15;28;0;1
-39;8;17;1;1
-19;-21;12;1;1
-36;5;21;1;1
-17;-13;17;0;1
-32;-21;24;0;1
-29;-5;14;1;1
-36;2;23;1;1
-21;-17;15;1;1
-20;-2;22;1;1
-25;4;34;1;1
-24;-4;22;1;1
-27;2;17;1;1
-26;-24;22;0;1
-22;26;17;1;1
-31;9;25;1;1
-25;11;29;1;1
-20;19;25;1;1
-33;9;17;0;1
-21;7;38;1;1
-22;15;11;1;1
-28;-14;25;0;1
-20;-14;27;1;1
-21;-17;18;1;1
-17;-4;26;0;1
-22;0;31;1;1
-16;3;30;0;1
-13;-12;31;1;1
-27;25;21;1;1
-14;-7;30;1;1
-29;18;21;0;1
-25;-5;28;0;1
-22;-18;15;1;1
-25;15;32;1;1
-17;22;32;1;1
-29;26;23;0;1
-38;-8;16;1;1
-23;22;22;0;1
-29;4;12;1;1
-21;22;26;1;1
-33;15;22;0;1
-27;10;12;1;1
-29;-7;32;1;1
-30;17;25;1;1
-22;-27;25;0;1
-23;2;27;1;1
-27;27;20;0;1
-21;0;30;1;1
-27;20;26;1;1
-16;-10;23;1;1
-28;3;21;1;1
-20;18;13;0;1
-37;6;15;0;1
-26;1;14;1;1
-24;-13;14;0;1
-32;-6;15;1;1
-28;-8;22;1;1
-34;-2;19;0;1
-31;12;28;0;1
-30;1;34;1;1
-30;22;18;0;1
-28;-15;26;1;1
-21;-1;37;1;1
-20;-17;36;1;1
-25;-17;33;0;1
-39;-13;17;1;1
-16;14;28;1;1
-16;-19;15;1;1
-24;-10;19;0;1
-27;5;33;0;1
-31;-15;13;0;1
-16;-20;15;1;1
-25;14;34;1;1
-26;27;25;1;1
-23;-21;23;0;1
-29;6;31;1;1
-37;0;17;1;1
-25;13;29;1;1
-36;15;15;1;1
-29;26;21;0;1
-30;28;16;0;1
-30;-4;21;1;1
-23;18;29;1;1
-24;-28;19;0;1
-22;12;24;1;1
-24;22;28;1;1
-26;8;19;0;1
-31;11;28;1;1
-13;16;23;0;1
-20;5;30;1;1
-12;11;30;1;1
-15;-3;32;1;1
-26;-12;16;1;1
-37;13;16;1;1
-25;-5;35;0;1
-18;21;17;1;1
-21;15;34;0;1
-23;-22;24;0;1
-19;22;21;1;1
-23;18;28;1;1
-21;-10;23;0;1
-24;-16;21;1;1
-31;-23;21;0;1
-39;0;19;1;1
-20;-14;35;1;1
-26;27;21;0;1
-29;2;21;1;1
-22;-16;22;0;1
-17;-3;37;1;1
-30;5;22;0;1
-33;-18;20;0;1
-18;9;24;0;1
-37;-5;21;0;1
-15;-19;18;0;1
-12;2;26;0;1
-38;-6;16;0;1
-20;-21;19;1;1
-31;-2;30;1;1
-35;4;16;1;1
-16;14;33;1;1
-23;24;16;1;1
-20;-20;33;1;1
-16;14;26;0;1
-19;-2;35;0;1
-27;23;28;1;1
-29;-17;29;0;1
-25;27;25;1;1
-26;31;18;0;1
-13;16;32;1;1
-20;-18;34;1;1
-23;10;31;0;1
-24;-30;24;1;1
-21;3;34;1;1
-25;10;26;1;1
-22;-5;24;1;1
-20;20;15;1;1
-36;-7;16;1;1
-23;5;29;0;1
-19;0;28;1;1
-31;21;20;1;1
-29;5;14;0;1
-18;-14;35;1;1
-27;-20;27;0;1
-20;20;27;0;1
-22;-5;23;1;1
-32;4;23;0;1
-16;-10;29;0;1
-25;21;24;0;1
-36;14;16;0;1
-25;-29;24;1;1
-33;11;29;1;1
-24;-10;15;0;1
-25;10;35;0;1
-16;-10;27;0;1
-10;-12;33;0;1
-14;16;23;1;1
-23;23;16;0;1
-26;-9;31;1;1
-22;12;15;1;1
-25;2;29;1;1
-14;-11;34;0;1
-18;17;12;0;1
-22;8;24;1;1
-32;-6;14;1;1
-22;26;27;1;1
-22;-1;35;1;1
-32;-8;19;1;1
-23;-8;28;0;1
-28;-18;22;0;1
-30;13;22;0;1
-13;9;25;0;1
-33;10;21;1;1
-26;4;12;1;1
-17;15;21;1;1
-22;12;25;0;1
-19;12;20;0;1
-27;13;14;1;1
-32;6;29;0;1
-32;0;26;0;1
-30;-5;23;0;1
-27;3;36;0;1
-40;-11;17;0;1
-27;16;23;1;1
-24;27;20;0;1
-23;8;23;0;1
-35;4;23;0;1
-39;9;18;0;1
-19;16;14;0;1
-25;15;19;1;1
-21;-16;21;1;1
-32;-2;28;0;1
-21;-26;24;0;1
-14;-18;35;0;1
-28;2;15;0;1
-29;-9;29;0;1
-25;-27;22;0;1
-31;-14;29;0;1
-31;1;29;0;1
-34;0;28;1;1
-10;-10;26;1;1
-39;-12;19;0;1
-28;20;23;0;1
-31;1;28;0;1
-18;6;23;1;1
-25;3;20;1;1
-41;-9;17;1;1
-34;-6;22;1;1
-22;-24;12;1;1
-29;-12;20;1;1
-30;-18;17;0;1
-23;18;22;0;1
-26;32;17;0;1
-30;26;22;0;1
-26;7;10;0;1
-34;9;13;1;1
-14;-16;40;0;1
-25;0;35;1;1
-34;-10;26;0;1
-23;1;20;0;1
-23;3;20;0;1
-22;-17;34;0;1
-27;2;10;1;1
-34;-18;16;0;1
-22;10;13;1;1
-35;20;18;1;1
-28;11;14;1;1
-31;4;18;0;1
-34;5;27;0;1
-22;-9;21;0;1
-31;15;20;1;1
-22;-15;21;1;1
-31;-8;18;1;1
-36;19;18;0;1
-32;6;16;1;1
-30;-17;24;1;1
-37;-8;24;0;1
-18;-6;26;1;1
-23;-21;25;0;1
-35;6;15;1;1
-23;7;36;1;1
-12;9;27;0;1
-26;8;32;0;1
-24;19;17;1;1
-29;1;31;0;1
-35;-3;24;0;1
-20;-8;23;0;1
-26;0;27;1;1
-24;10;15;1;1
-30;-20;17;1;1
-28;6;32;0;1
-13;14;34;0;1
-34;-17;23;0;1
-22;-6;38;0;1
-24;9;18;0;1
-26;-18;16;1;1
-21;-25;19;0;1
-30;22;17;1;1
-23;-13;18;0;1
-20;15;26;1;1
-32;-13;25;0;1
-18;-12;30;1;1
-11;11;27;1;1
-12;12;36;0;1
-36;2;19;1;1
-22;-22;19;1;1
-26;0;34;0;1
-27;15;16;0;1
-34;-20;18;1;1
-31;23;22;1;1
-35;-6;15;0;1
-33;5;14;0;1
-15;-19;25;1;1
-39;0;16;1;1
-11;13;34;0;1
-23;19;27;1;1
-31;3;30;0;1
-18;6;24;0;1
-18;-1;38;0;1
-23;-9;25;1;1
-27;8;13;0;1
-15;-19;16;1;1
-21;-11;36;1;1
-16;-8;37;1;1
-28;-10;21;1;1
-30;0;33;1;1
-24;7;12;1;1
-23;-7;18;0;1
-24;23;13;1;1
-19;-6;36;0;1
-23;-11;35;0;1
-19;18;23;1;1
-29;-7;22;1;1
-18;-13;18;1;1
-15;13;23;1;1
-19;-8;21;0;1
-11;6;26;0;1
-26;26;16;0;1
-25;19;19;0;1
-21;-11;18;0;1
-21;-12;14;0;1
-27;-9;30;1;1
-28;14;12;1;1
-28;12;32;0;1
-32;-23;21;1;1
-31;1;14;1;1
-36;19;15;0;1
-35;-1;25;0;1
-22;2;16;0;1
-15;15;29;1;1
-31;13;21;1;1
-18;10;26;1;1
-26;14;34;1;1
-10;-11;24;0;1
-27;20;24;1;1
-30;8;24;0;1
-32;-13;20;0;1
-34;5;26;0;1
-21;11;26;0;1
-18;12;37;0;1
-35;10;21;0;1
-17;-19;29;1;1
-18;16;33;1;1
-28;6;29;0;1
-22;22;13;1;1
-29;14;22;1;1
-17;11;24;0;1
-34;11;23;0;1
-35;12;18;0;1
-30;1;33;1;1
-22;-26;15;0;1
-19;-17;28;0;1
-27;-12;14;1;1
-32;0;29;1;1
-16;2;26;0;1
-39;11;19;1;1
-23;20;15;0;1
-27;-12;26;0;1
-19;-23;22;0;1
-33;-20;21;1;1
-32;12;16;1;1
-25;-11;31;1;1
-15;18;32;0;1
-22;-21;31;0;1
-23;2;15;1;1
-20;6;30;1;1
-27;12;28;1;1
-29;-2;21;0;1
-26;30;17;0;1
-21;27;15;1;1
-22;0;36;0;1
-16;-9;26;1;1
-20;20;16;1;1
-21;-27;22;0;1
-23;15;22;1;1
-18;-1;27;1;1
-24;-1;20;0;1
-40;1;21;1;1
-21;1;30;0;1
-17;0;36;1;1
-28;11;20;0;1
-14;15;28;0;1
-11;11;33;1;1
-26;-8;28;1;1
-27;-21;14;0;1
-25;-22;29;1;1
-25;24;15;1;1
-29;3;26;0;1
-34;2;27;1;1
-27;2;24;0;1
-22;19;14;1;1
-18;-22;27;0;1
-27;-9;28;1;1
-23;5;23;0;1
-21;-9;19;0;1
-22;8;17;1;1
-16;16;20;1;1
-30;7;17;0;1
-20;18;27;1;1
-15;-19;38;1;1
-16;18;17;1;1
-22;-18;18;1;1
-21;-5;36;1;1
-27;27;16;1;1
-22;-21;12;1;1
-20;-20;30;1;1
-39;1;21;0;1
-21;18;33;1;1
-23;-2;33;1;1
-35;7;27;1;1
-24;-12;28;1;1
-23;13;10;0;1
-21;-8;16;1;1
-16;-8;36;1;1
-19;18;12;1;1
-31;26;16;1;1
-25;-4;18;0;1
-24;24;24;0;1
-29;1;16;1;1
-33;12;27;1;1
-29;-20;16;1;1
-34;6;17;1;1
-32;14;28;1;1
-35;0;27;1;1
-36;10;14;0;1
-18;6;27;1;1
-23;-29;19;0;1
-31;-26;20;1;1
-12;8;29;1;1
-14;11;33;0;1
-16;20;28;1;1
-29;21;26;1;1
-29;-2;13;0;1
-19;-13;39;1;1
-14;6;24;0;1
-20;-13;27;1;1
-28;-30;16;1;1
-22;-11;28;1;1
-19;23;17;0;1
-22;6;25;1;1
-26;17;28;0;1
-19;16;35;1;1
-21;25;21;0;1
-38;-8;22;1;1
-17;-7;24;0;1
-36;10;16;1;1
-33;11;27;1;1
-25;-5;25;1;1
-19;10;35;1;1
-25;1;27;1;1
-31;-17;19;1;1
-27;11;20;1;1
-13;-13;39;1;1
-22;-13;36;0;1
-21;-12;33;1;1
-18;-13;16;1;1
-25;-20;21;1;1
-22;-28;18;0;1
-28;12;14;0;1
