x;y;z;E;n
-42;-3;16;0;0
-42;-2;17;0;0
-42;0;16;1;7
-42;0;17;1;7
-42;1;16;0;0
-42;2;16;1;6
-42;6;16;0;0
-41;-9;16;1;3
-41;-8;16;1;3
-41;-8;17;0;0
-41;-7;18;0;0
-41;-6;16;1;4
-41;-6;18;1;1
-41;-4;16;0;0
-41;-3;15;0;0
-41;-3;16;0;0
-41;-2;17;1;4
-41;0;16;1;6
-41;1;16;0;0
-41;1;17;0;0
-41;1;18;0;0
-41;1;19;1;5
-41;2;18;1;1
-41;3;15;1;2
-41;3;16;0;0
-41;3;18;0;0
-41;4;18;0;0
-41;6;16;1;1
-41;6;17;0;0
-41;7;16;0;0
-41;7;18;1;1
-41;9;16;0;0
-41;10;16;0;0
-41;11;16;1;1
-40;-14;16;0;0
-40;-13;17;0;0
-40;-12;17;0;0
-40;-10;18;1;14
-40;-9;16;1;4
-40;-9;17;1;1
-40;-9;18;0;0
-40;-8;15;1;4
-40;-8;18;0;0
-40;-8;19;1;6
-40;-7;17;0;0
-40;-7;19;1;4
-40;-6;19;1;1
-40;-5;15;1;1
-40;-5;16;1;3
-40;-5;17;1;1
-40;-5;20;0;0
-40;-4;20;0;0
-40;-3;17;1;3
-40;-3;20;1;2
-40;-2;17;0;0
-40;-2;19;0;0
-40;-1;16;0;0
-40;-1;20;1;3
-40;0;18;1;1
-40;0;19;1;1
-40;1;18;1;2
-40;1;19;1;2
-40;1;20;0;0
-40;2;18;0;0
-40;2;19;1;1
-40;2;20;1;2
-40;3;16;1;1
-40;3;17;1;1
-40;3;18;1;2
-40;3;20;0;0
-40;3;21;0;0
-40;4;20;1;2
-40;5;15;1;3
-40;5;19;0;0
-40;5;20;0;0
-40;6;15;1;4
-40;6;17;1;1
-40;6;18;0;0
-40;6;20;0;0
-40;7;15;1;2
-40;7;16;0;0
-40;7;17;0;0
-40;8;15;0;0
-40;8;16;0;0
-40;9;15;0;0
-40;9;17;0;0
-40;10;18;1;1
-40;12;17;1;2
-40;13;16;0;0
-40;13;17;0;0
-40;14;16;0;0
-39;-13;15;1;1
-39;-13;16;1;1
-39;-12;15;1;1
-39;-12;16;1;1
-39;-12;17;1;1
-39;-11;16;1;2
-39;-11;18;1;8
-39;-11;20;0;0
-39;-10;16;1;3
-39;-10;17;1;3
-39;-9;19;1;3
-39;-9;20;0;0
-39;-8;15;1;1
-39;-8;18;1;1
-39;-7;15;0;0
-39;-7;17;1;1
-39;-7;19;0;0
-39;-6;15;0;0
-39;-6;19;1;2
-39;-6;21;1;1
-39;-5;16;0;0
-39;-5;17;0;0
-39;-5;19;0;0
-39;-5;20;0;0
-39;-4;15;1;4
-39;-4;16;1;1
-39;-4;17;1;3
-39;-4;20;1;1
-39;-4;21;0;0
-39;-3;16;0;0
-39;-3;17;0;0
-39;-2;18;1;1
-39;-2;20;1;2
-39;-2;21;1;2
-39;-2;22;1;8
-39;-2;23;1;12
-39;-1;17;0;0
-39;0;17;0;0
-39;0;21;1;5
-39;1;18;1;2
-39;1;20;1;1
-39;1;23;0;0
-39;2;16;0;0
-39;2;18;0;0
-39;2;19;1;5
-39;2;20;0;0
-39;2;22;1;3
-39;3;15;1;5
-39;3;19;1;5
-39;3;20;1;1
-39;3;23;1;1
-39;4;16;1;4
-39;4;18;1;12
-39;5;21;1;5
-39;5;22;1;1
-39;6;22;1;11
-39;7;16;0;0
-39;7;18;0;0
-39;7;19;0;0
-39;7;21;0;0
-39;7;22;1;1
-39;8;16;0;0
-39;8;21;1;1
-39;9;15;0;0
-39;9;16;1;3
-39;9;17;0;0
-39;9;19;1;1
-39;9;21;1;1
-39;10;16;1;1
-39;10;18;1;2
-39;10;19;0;0
-39;11;20;1;3
-39;12;15;0;0
-39;13;17;0;0
-39;13;19;1;2
-39;14;16;0;0
-39;14;17;0;0
-39;14;18;0;0
-39;15;16;0;0
-39;15;17;0;0
-39;16;16;0;0
-38;-18;17;0;0
-38;-17;16;1;3
-38;-17;17;1;1
-38;-16;18;1;5
-38;-15;18;1;16
-38;-14;16;1;11
-38;-14;18;1;7
-38;-13;16;1;11
-38;-13;20;1;8
-38;-12;15;1;11
-38;-11;16;1;7
-38;-11;17;1;2
-38;-10;15;1;3
-38;-10;16;1;2
-38;-10;19;1;1
-38;-10;22;0;0
-38;-9;16;1;3
-38;-9;17;1;2
-38;-9;18;1;3
-38;-9;19;1;3
-38;-9;23;0;0
-38;-8;17;0;0
-38;-8;20;0;0
-38;-7;16;0;0
-38;-7;21;1;3
-38;-7;22;1;1
-38;-7;23;0;0
-38;-6;17;0;0
-38;-6;19;1;1
-38;-6;21;0;0
-38;-6;23;1;4
-38;-6;24;1;1
-38;-5;14;0;0
-38;-5;17;0;0
-38;-5;18;1;1
-38;-5;20;0;0
-38;-5;24;0;0
-38;-4;15;1;1
-38;-4;17;1;11
-38;-4;19;0;0
-38;-4;20;0;0
-38;-4;22;0;0
-38;-4;23;0;0
-38;-3;20;0;0
-38;-3;21;1;2
-38;-3;23;1;4
-38;-3;24;0;0
-38;-2;15;1;1
-38;-2;19;1;1
-38;-2;20;1;4
-38;-1;15;1;7
-38;-1;19;0;0
-38;-1;20;1;3
-38;-1;21;1;8
-38;-1;22;1;13
-38;-1;24;1;1
-38;0;18;0;0
-38;0;21;1;9
-38;0;23;1;3
-38;1;18;0;0
-38;1;22;1;1
-38;1;24;0;0
-38;2;17;0;0
-38;2;18;0;0
-38;2;20;1;1
-38;2;22;1;6
-38;2;23;1;3
-38;3;16;1;5
-38;3;17;1;1
-38;3;19;0;0
-38;3;21;0;0
-38;3;23;0;0
-38;4;15;1;6
-38;4;17;1;7
-38;5;15;1;1
-38;5;17;1;3
-38;5;18;1;17
-38;5;20;1;1
-38;5;21;0;0
-38;5;22;0;0
-38;6;16;0;0
-38;6;18;1;4
-38;6;19;1;3
-38;6;21;1;2
-38;6;22;1;2
-38;7;15;0;0
-38;7;18;1;5
-38;7;19;0;0
-38;7;20;1;6
-38;7;21;1;1
-38;8;18;1;6
-38;8;19;1;5
-38;8;22;1;5
-38;9;19;0;0
-38;9;22;1;4
-38;9;23;1;1
-38;10;17;0;0
-38;10;19;0;0
-38;10;20;1;1
-38;10;22;1;4
-38;11;15;1;7
-38;11;19;0;0
-38;11;20;0;0
-38;11;21;0;0
-38;12;15;1;2
-38;12;16;0;0
-38;12;17;0;0
-38;12;19;0;0
-38;12;20;0;0
-38;12;21;0;0
-38;13;16;0;0
-38;14;15;0;0
-38;14;20;0;0
-38;15;16;0;0
-38;16;19;1;2
-38;17;16;0;0
-38;17;17;0;0
-38;17;18;0;0
-38;18;16;0;0
-37;-18;15;0;0
-37;-17;17;1;1
-37;-17;18;1;5
-37;-16;19;1;11
-37;-16;20;1;3
-37;-15;15;0;0
-37;-15;16;1;1
-37;-15;17;1;2
-37;-15;21;1;3
-37;-14;16;1;1
-37;-14;22;1;1
-37;-13;15;0;0
-37;-13;17;0;0
-37;-13;18;1;4
-37;-12;15;1;5
-37;-12;16;0;0
-37;-12;17;1;4
-37;-12;19;1;13
-37;-12;22;1;1
-37;-11;23;0;0
-37;-10;14;1;4
-37;-10;15;1;9
-37;-10;16;1;5
-37;-10;17;1;3
-37;-10;19;1;7
-37;-9;14;1;1
-37;-9;15;0;0
-37;-9;18;1;5
-37;-9;19;1;10
-37;-9;20;1;4
-37;-9;21;0;0
-37;-8;14;0;0
-37;-8;15;0;0
-37;-8;18;0;0
-37;-8;19;1;3
-37;-8;20;0;0
-37;-8;21;1;1
-37;-8;23;0;0
-37;-7;16;0;0
-37;-7;17;0;0
-37;-7;19;1;1
-37;-7;21;0;0
-37;-7;22;1;3
-37;-7;24;0;0
-37;-7;25;0;0
-37;-6;15;1;2
-37;-6;16;0;0
-37;-6;17;0;0
-37;-6;20;0;0
-37;-6;25;0;0
-37;-5;20;0;0
-37;-5;22;0;0
-37;-5;23;0;0
-37;-4;15;1;2
-37;-4;16;1;14
-37;-4;18;1;3
-37;-4;21;1;1
-37;-4;26;1;1
-37;-3;14;1;4
-37;-3;15;1;4
-37;-3;16;1;1
-37;-3;18;0;0
-37;-3;19;1;5
-37;-3;20;1;2
-37;-3;21;1;3
-37;-3;22;1;1
-37;-3;24;1;2
-37;-2;18;0;0
-37;-2;20;1;8
-37;-2;25;0;0
-37;-2;26;1;4
-37;-1;15;1;12
-37;-1;18;0;0
-37;-1;21;0;0
-37;-1;23;1;4
-37;-1;25;1;2
-37;-1;26;0;0
-37;0;14;0;0
-37;0;20;1;5
-37;0;21;0;0
-37;1;14;0;0
-37;1;15;1;17
-37;1;17;0;0
-37;1;19;0;0
-37;1;25;1;2
-37;2;14;1;6
-37;2;15;1;6
-37;2;16;0;0
-37;2;17;1;2
-37;2;18;1;1
-37;2;21;0;0
-37;2;22;1;1
-37;2;24;1;8
-37;3;18;1;1
-37;3;20;1;1
-37;3;21;1;2
-37;3;22;0;0
-37;3;23;1;4
-37;3;25;1;6
-37;3;26;1;1
-37;4;15;1;11
-37;4;17;1;5
-37;4;19;1;2
-37;4;23;0;0
-37;4;24;0;0
-37;4;25;1;4
-37;4;26;1;5
-37;5;14;1;1
-37;5;16;0;0
-37;5;20;1;3
-37;6;17;0;0
-37;6;19;1;16
-37;6;25;1;5
-37;7;15;1;2
-37;7;25;1;3
-37;8;14;1;3
-37;8;17;1;2
-37;8;22;1;6
-37;8;24;1;3
-37;9;14;1;8
-37;9;17;1;10
-37;9;20;1;16
-37;9;23;1;8
-37;9;24;1;2
-37;10;16;1;5
-37;10;17;1;4
-37;10;20;1;3
-37;10;23;1;4
-37;10;24;1;2
-37;11;15;1;9
-37;11;18;1;2
-37;11;19;1;5
-37;11;21;1;7
-37;11;23;1;1
-37;12;15;0;0
-37;12;16;0;0
-37;12;17;0;0
-37;12;18;0;0
-37;12;20;0;0
-37;12;21;0;0
-37;12;22;0;0
-37;13;15;0;0
-37;13;17;0;0
-37;13;19;0;0
-37;13;20;0;0
