x;y;z;E;n
-37;0;31;1;1
-38;0;26;1;1
-22;0;17;1;1
-33;0;33;1;1
-23;0;33;1;1
-29;0;17;1;1
-26;0;32;1;1
-24;0;31;1;1
-34;0;38;1;1
-22;0;35;1;1
-18;0;26;1;1
-23;0;27;1;1
-34;0;32;1;1
-20;0;35;1;1
-22;0;20;1;1
-19;0;28;1;1
-19;0;24;1;1
-18;0;26;1;1
-19;0;34;1;1
-33;0;13;1;1
-25;0;14;1;1
-22;0;38;1;1
-30;0;28;1;1
-17;0;30;1;1
-23;0;28;1;1
-30;0;38;1;1
-27;0;31;1;1
-19;0;27;1;1
-20;0;35;1;1
-24;0;23;1;1
-25;0;20;1;1
-25;0;23;1;1
-17;0;11;1;1
-18;0;26;1;1
-22;0;35;1;1
-20;0;19;1;1
-25;0;11;1;1
-41;0;30;1;1
-27;0;30;1;1
-37;0;12;1;1
-18;0;27;1;1
-18;0;28;1;1
-31;0;17;1;1
-22;0;38;1;1
-15;0;27;1;1
-17;0;16;1;1
-19;0;27;1;1
-19;0;34;1;1
-28;0;35;1;1
-22;0;35;1;1
-33;0;24;1;1
-28;0;31;1;1
-20;0;34;1;1
-19;0;35;1;1
-38;0;20;1;1
-33;0;38;1;1
-14;0;36;1;1
-33;0;22;1;1
-21;0;20;1;1
-22;0;30;1;1
-34;0;32;1;1
-33;0;31;1;1
-24;0;32;1;1
-28;0;12;1;1
-22;0;35;1;1
-20;0;36;1;1
-34;0;32;1;1
-20;0;34;1;1
-19;0;34;1;1
-20;0;36;1;1
-28;0;16;1;1
-37;0;33;1;1
-30;0;30;1;1
-20;0;26;1;1
-18;0;12;1;1
-36;0;32;1;1
-24;0;21;1;1
-24;0;31;1;1
-15;0;29;1;1
-26;0;23;1;1
-38;0;20;1;1
-25;0;24;1;1
-34;0;38;1;1
-30;0;13;1;1
-32;0;23;1;1
-28;0;32;1;1
-26;0;23;1;1
-18;0;26;1;1
-22;0;35;1;1
-19;0;35;1;1
-33;0;21;1;1
-20;0;36;1;1
-20;0;35;1;1
-39;0;20;1;1
-17;0;29;1;1
-40;0;12;1;1
-34;0;32;1;1
-32;0;24;1;1
-19;0;12;1;1
-27;0;19;1;1
-32;0;23;1;1
-24;0;32;1;1
-33;0;38;1;1
-25;0;22;1;1
-39;0;20;1;1
-38;0;20;1;1
-22;0;34;1;1
-38;0;15;1;1
-24;0;22;1;1
-29;0;31;1;1
