Galaxias;Celdas;Ocup.Med;Ocupadas;Ocup.Az;Ocup.AzAj
46658;21168;4,4335;10524;10606;10587
Den. = milesimas de galaxia por Mal al cubo
Dist.;Numero;Cel.Ocup;Cel.Ocup;;;
10^6al;Galaxias;Azar;Azar.Aj;Den.;Den.Az;Den.AzAj
395;8;3;2;0,00401;0,00666;0,004440
405;44;5;7;0,02096;0,01056;0,014782
415;40;10;9;0,01815;0,02011;0,018101
425;65;8;23;0,02811;0,01534;0,044106
435;49;12;11;0,02023;0,02197;0,020135
445;207;22;44;0,08167;0,03848;0,076963
455;256;26;54;0,09661;0,04350;0,090348
465;353;24;51;0,12755;0,03845;0,081698
475;326;44;70;0,11288;0,06755;0,107464
485;504;42;98;0,16740;0,06185;0,144309
495;363;46;71;0,11575;0,06503;0,100369
505;379;52;88;0,11611;0,07063;0,119523
515;406;65;90;0,11960;0,08489;0,117539
525;324;54;79;0,09184;0,06786;0,099280
535;371;83;80;0,10127;0,10044;0,096814
545;329;71;68;0,08654;0,08280;0,079299
555;451;95;83;0,11439;0,10683;0,093336
565;428;82;91;0,10475;0,08898;0,098741
575;446;90;122;0,10539;0,09429;0,127814
585;484;92;104;0,11050;0,09312;0,105263
595;591;111;135;0,13043;0,10860;0,132086
605;604;94;149;0,12893;0,08896;0,141004
615;702;107;163;0,14501;0,09799;0,149277
625;670;99;180;0,13401;0,08779;0,159614
635;827;113;212;0,16024;0,09707;0,182115
645;822;141;164;0,15437;0,11740;0,136547
655;721;132;171;0,13130;0,10657;0,138061
665;616;147;143;0,10883;0,11514;0,112009
675;864;152;179;0,14816;0,11556;0,136083
685;658;153;140;0,10956;0,11295;0,103349
695;943;177;201;0,15253;0,12693;0,144140
705;811;157;199;0,12748;0,10942;0,138686
715;834;167;200;0,12746;0,11315;0,135512
725;743;161;166;0,11044;0,10610;0,109394
735;682;189;145;0,09863;0,12118;0,092972
745;748;172;177;0,10529;0,10734;0,110464
755;593;181;149;0,08128;0,10999;0,090543
765;637;175;148;0,08504;0,10358;0,087599
775;547;182;124;0,07115;0,10496;0,071512
785;741;195;180;0,09395;0,10961;0,101180
795;730;241;157;0,09024;0,13208;0,086045
805;760;182;179;0,09163;0,09728;0,095680
815;1063;219;236;0,12504;0,11421;0,123072
825;1078;209;261;0,12374;0,10637;0,132829
835;1123;230;246;0,12584;0,11427;0,122215
845;1074;209;242;0,11752;0,10139;0,117399
855;1233;235;289;0,13178;0,11135;0,136939
865;1168;227;248;0,12196;0,10509;0,114810
875;1127;216;263;0,11501;0,09772;0,118988
885;1244;265;281;0,12409;0,11720;0,124274
895;989;236;235;0,09646;0,10205;0,101621
905;1092;259;234;0,10417;0,10954;0,098965
915;1075;278;237;0,10032;0,11502;0,098055
925;1065;265;210;0,09725;0,10728;0,085015
935;942;235;194;0,08419;0,09311;0,076867
945;1032;249;232;0,09029;0,09658;0,089988
955;1039;221;252;0,08901;0,08394;0,095710
965;1022;198;251;0,08575;0,07365;0,093364
975;918;202;219;0,07545;0,07360;0,079799
985;918;177;229;0,07392;0,06319;0,081757
995;802;177;181;0,06329;0,06193;0,063328
1005;678;185;134;0,05245;0,06345;0,045955
1015;698;160;164;0,05293;0,05380;0,055141
1025;436;141;100;0,03242;0,04649;0,032970
1035;450;159;101;0,03282;0,05141;0,032659
1045;333;141;86;0,02382;0,04472;0,027279
1055;322;114;80;0,02260;0,03548;0,024897
1065;359;120;91;0,02473;0,03665;0,027791
1075;262;110;58;0,01771;0,03297;0,017385
1085;181;93;43;0,01201;0,02736;0,012652
1095;233;101;67;0,01518;0,02918;0,019356
1105;143;82;30;0,00915;0,02326;0,008511
1115;133;85;32;0,00836;0,02368;0,008916
1125;136;85;17;0,00840;0,02326;0,004653
1135;72;57;17;0,00437;0,01533;0,004571
1145;75;51;17;0,00447;0,01347;0,004492
1155;113;54;28;0,00662;0,01402;0,007270
1165;61;47;14;0,00351;0,01200;0,003573
1175;80;34;17;0,00453;0,00853;0,004265
1185;101;36;24;0,00562;0,00888;0,005920
1195;33;26;9;0,00181;0,00631;0,002183
1205;33;26;4;0,00178;0,00620;0,000954
1215;22;23;5;0,00116;0,00540;0,001173
1225;14;7;2;0,00073;0,00162;0,000462
1235;8;6;1;0,00041;0,00136;0,000227
1245;1;2;0;0,00005;0,00045;0,000000
1255;0;0;0;0,00000;0,00000;0,000000
1265;0;0;0;0,00000;0,00000;0,000000
