x;y;z;E;n
-41;-13;15;1;1
-41;-13;16;1;1
-41;-13;17;0;1
-41;-13;19;1;1
-41;-13;20;1;1
-41;-13;24;0;1
-41;-13;26;1;1
-41;-13;30;0;1
-41;-13;31;0;1
-41;-13;33;0;1
-41;-13;34;1;1
-41;-13;38;0;1
-41;-12;15;0;1
-41;-12;17;1;1
-41;-12;30;0;1
-41;-12;35;1;1
-41;-12;36;0;1
-41;-12;37;0;1
-41;-12;38;0;1
-41;-11;14;0;1
-41;-11;15;1;1
-41;-11;22;0;1
-41;-11;25;0;1
-41;-11;28;1;1
-41;-11;29;0;1
-41;-11;31;0;1
-41;-11;33;0;1
-41;-11;34;0;1
-41;-11;35;0;1
-41;-11;37;0;1
-41;-11;38;0;1
-41;-10;17;0;1
-41;-10;19;0;1
-41;-10;20;1;1
-41;-10;21;0;1
-41;-10;26;0;1
-41;-10;27;0;1
-41;-10;28;1;1
-41;-10;34;1;1
-41;-10;36;1;1
-41;-9;13;0;1
-41;-9;15;1;1
-41;-9;16;0;1
-41;-9;21;0;1
-41;-9;24;0;1
-41;-9;25;1;1
-41;-9;26;1;1
-41;-9;28;0;1
-41;-9;29;0;1
-41;-9;30;0;1
-41;-9;31;0;1
-41;-9;33;0;1
-41;-9;34;0;1
-41;-9;38;0;1
-41;-9;39;0;1
-41;-8;13;1;1
-41;-8;19;1;1
-41;-8;23;1;1
-41;-8;26;0;1
-41;-8;27;0;1
-41;-8;28;1;1
-41;-8;30;0;1
-41;-8;35;0;1
-41;-8;36;0;1
-41;-8;37;0;1
-41;-7;13;0;1
-41;-7;14;1;1
-41;-7;16;0;1
-41;-7;18;1;1
-41;-7;19;1;1
-41;-7;20;1;1
-41;-7;21;1;1
-41;-7;22;1;1
-41;-7;23;0;1
-41;-7;24;0;1
-41;-7;29;0;1
-41;-7;30;0;1
-41;-7;37;0;1
-41;-7;38;0;1
-41;-7;39;0;1
-41;-6;12;0;1
-41;-6;15;0;1
-41;-6;21;1;1
-41;-6;22;1;1
-41;-6;24;0;1
-41;-6;25;1;1
-41;-6;27;1;1
-41;-6;30;1;1
-41;-6;31;0;1
-41;-6;32;0;1
-41;-6;35;0;1
-41;-6;37;0;1
-41;-5;14;1;1
-41;-5;16;0;1
-41;-5;17;1;1
-41;-5;22;1;1
-41;-5;23;1;1
-41;-5;28;0;1
-41;-5;29;0;1
-41;-5;31;1;1
-41;-5;34;0;1
-41;-5;39;0;1
-41;-4;12;0;1
-41;-4;13;0;1
-41;-4;14;0;1
-41;-4;17;1;1
