x;y;z;E;n
-17;0;15;1;1
-35;-8;12;0;1
-17;12;34;1;1
-25;10;21;0;1
-25;-2;27;1;1
-36;2;25;0;1
-17;11;31;0;1
-19;-1;21;1;1
-33;12;13;0;1
-22;-13;14;1;1
-19;2;36;1;1
-20;-6;12;0;1
-41;2;16;0;1
-37;10;35;0;1
-18;-6;34;1;1
-24;-9;12;0;1
-17;4;30;0;1
-24;0;32;1;1
-20;-1;19;1;1
-17;-10;12;1;1
-14;0;28;1;1
-32;6;16;1;1
-39;-6;30;0;1
-41;-5;32;0;1
-31;-5;14;0;1
-27;-7;26;0;1
-28;-11;37;0;1
-16;10;31;1;1
-34;10;22;1;1
-23;12;39;0;1
-26;0;19;1;1
-40;-8;21;1;1
-17;13;36;0;1
-36;4;36;0;1
-36;-6;19;0;1
-18;-4;33;1;1
-31;-12;14;0;1
-35;1;15;1;1
-33;-9;27;1;1
-18;-7;15;1;1
-35;-12;20;1;1
-40;-10;35;0;1
-41;13;18;1;1
-24;-3;26;1;1
-18;12;34;0;1
-39;-10;14;1;1
-19;-7;13;1;1
-22;0;26;0;1
-15;2;12;0;1
-35;-6;37;0;1
-20;1;31;0;1
-36;2;23;0;1
-16;-4;12;0;1
-21;-7;25;0;1
-41;-12;22;0;1
-27;7;31;0;1
-38;11;22;0;1
-17;4;13;1;1
-35;2;23;1;1
-39;-8;12;1;1
-21;-1;20;0;1
-14;-12;14;1;1
-27;2;34;0;1
-24;12;34;1;1
-38;0;32;0;1
-20;-3;23;1;1
-17;-6;17;0;1
-19;11;14;1;1
-14;3;28;0;1
-14;11;39;0;1
-34;-10;14;1;1
-23;-10;20;1;1
-32;-4;20;0;1
-15;-7;15;1;1
-23;-12;24;0;1
-15;-4;32;1;1
-33;7;13;1;1
-29;10;37;0;1
-37;-4;34;0;1
-33;-8;15;0;1
-21;-13;16;1;1
-20;3;17;1;1
-14;-5;31;1;1
-40;2;29;1;1
-16;-2;17;1;1
-32;12;12;0;1
-38;10;21;0;1
-37;7;15;1;1
-36;3;28;0;1
-23;0;17;1;1
-22;-1;16;0;1
-28;-3;36;1;1
-14;12;36;1;1
-36;13;30;0;1
-39;7;33;0;1
-34;-13;24;1;1
-27;1;30;1;1
-30;-13;21;1;1
-28;10;32;1;1
-39;2;20;1;1
-36;9;35;0;1
-14;-5;36;0;1
-22;10;34;0;1
-15;3;36;1;1
-14;-9;33;0;1
-38;-2;20;1;1
-17;-8;37;0;1
-14;-11;30;0;1
-39;-9;38;0;1
-40;5;30;0;1
-35;-13;39;1;1
-23;13;38;1;1
-21;-7;38;0;1
-15;-3;12;0;1
-31;-9;28;0;1
-15;9;37;1;1
-14;6;20;0;1
-28;-13;16;1;1
-21;1;22;1;1
-20;2;21;0;1
-24;0;34;0;1
-22;0;32;1;1
-24;-6;18;1;1
-32;-10;15;1;1
-33;-1;28;0;1
-20;5;31;0;1
-23;-9;19;1;1
-38;-4;29;0;1
-18;-1;14;1;1
-30;-12;24;0;1
-30;8;32;1;1
-16;6;26;1;1
-14;-13;12;1;1
-40;8;28;1;1
-39;-4;22;0;1
-21;5;15;1;1
-40;6;22;0;1
-41;5;33;0;1
-39;-3;36;1;1
-20;13;28;0;1
-28;5;28;1;1
-37;7;29;0;1
-39;2;22;1;1
-38;12;13;0;1
-29;-1;27;1;1
-41;-1;17;0;1
-20;-10;22;1;1
-40;2;31;0;1
-18;8;35;1;1
-38;11;37;0;1
-34;-5;19;1;1
-40;1;26;0;1
-23;-1;16;1;1
-21;-6;35;1;1
-28;-13;37;1;1
-27;-5;24;0;1
-31;-12;23;1;1
-31;8;15;0;1
-23;-9;13;1;1
-36;0;13;0;1
-28;-7;28;1;1
-21;10;18;1;1
-38;4;28;1;1
-22;-10;16;0;1
-24;10;21;0;1
-33;-5;19;1;1
-22;13;32;1;1
-23;-1;19;1;1
-17;-13;30;1;1
-24;-1;24;0;1
-16;-10;27;1;1
-14;-13;23;1;1
-31;3;32;1;1
-15;1;27;0;1
-34;11;12;0;1
-29;7;25;0;1
-25;12;23;1;1
-28;-4;31;0;1
-17;4;16;1;1
-33;-13;23;1;1
-41;2;17;0;1
-25;2;25;1;1
-34;1;30;0;1
-22;1;22;1;1
-38;7;28;1;1
-31;-6;24;0;1
-34;-6;22;0;1
-35;6;17;1;1
-25;7;14;1;1
-25;-13;21;0;1
-31;4;23;1;1
-23;12;12;0;1
-31;1;24;0;1
-17;11;29;1;1
-33;7;24;0;1
-21;9;14;0;1
-40;-10;15;0;1
-30;-2;33;0;1
-27;-13;39;0;1
-37;-9;33;0;1
-33;-1;20;0;1
-39;5;20;1;1
-36;1;36;0;1
-35;-4;24;1;1
-35;8;19;1;1
-33;-6;31;1;1
-23;11;28;0;1
-22;11;29;0;1
-29;-2;21;0;1
-41;-6;20;1;1
-16;-4;27;1;1
-17;5;18;1;1
-27;-10;27;1;1
-31;-9;20;0;1
-37;11;35;0;1
-17;4;24;1;1
-28;-4;12;0;1
-29;-11;33;0;1
-26;-4;37;0;1
-34;3;30;0;1
-40;-13;36;1;1
-28;-5;15;1;1
-40;6;16;0;1
-33;-13;22;1;1
-35;9;37;0;1
-35;-8;26;0;1
-25;-1;39;0;1
-28;5;39;1;1
-24;8;19;0;1
-26;-12;28;0;1
-30;4;31;0;1
-36;1;20;0;1
-14;-5;32;0;1
-21;-1;34;0;1
-14;2;17;1;1
-16;10;37;0;1
-30;-12;22;1;1
-40;-8;22;1;1
-29;7;31;0;1
-18;-1;36;1;1
-22;-4;20;1;1
-26;-4;20;0;1
-19;-6;27;1;1
-25;-1;38;1;1
-23;4;36;1;1
-28;12;37;1;1
-37;8;35;0;1
-41;-3;17;1;1
-21;-13;12;1;1
-29;-11;29;0;1
-34;0;26;0;1
-24;-13;17;1;1
-17;-12;24;0;1
-35;-2;34;1;1
-38;-10;35;1;1
-18;-10;35;0;1
-41;13;13;0;1
-16;1;29;1;1
-14;0;25;1;1
-41;2;33;0;1
-22;8;12;0;1
-36;-7;14;1;1
-39;-10;25;1;1
-16;-4;31;1;1
-25;3;26;1;1
-22;9;16;1;1
-16;-4;25;1;1
-20;4;31;1;1
-31;3;13;0;1
-34;-13;38;0;1
-28;3;25;0;1
-29;-10;31;1;1
-14;-4;12;1;1
-22;10;33;1;1
-25;-7;29;0;1
-28;5;23;1;1
-22;-13;18;1;1
-28;-8;30;1;1
-24;-5;32;0;1
-21;10;32;0;1
-40;-3;27;0;1
-25;-11;30;1;1
-20;5;34;1;1
-36;5;38;0;1
-34;2;24;0;1
-19;4;12;1;1
-32;-1;33;1;1
-21;11;15;1;1
-24;-5;31;1;1
-37;-2;17;1;1
-17;11;35;1;1
-28;0;23;1;1
-40;5;37;0;1
-29;-9;37;0;1
-38;5;38;0;1
-27;-10;24;0;1
-28;-8;38;1;1
-17;11;33;1;1
-14;10;24;1;1
-15;9;27;1;1
-25;2;38;0;1
-30;-9;13;1;1
-24;7;39;1;1
-29;13;15;0;1
-15;-1;38;1;1
-18;-4;22;1;1
-24;5;13;1;1
-37;-9;32;1;1
-23;-9;23;0;1
-24;-2;36;1;1
-37;-10;30;0;1
-26;6;37;1;1
-33;-8;33;0;1
-35;3;37;0;1
-14;-8;14;1;1
-38;5;17;1;1
-30;1;17;1;1
-17;-2;16;1;1
-24;8;20;1;1
-20;13;29;0;1
-31;-4;30;1;1
-37;-1;27;1;1
-37;-5;33;1;1
-35;-9;36;0;1
-31;-11;32;1;1
-41;-11;39;0;1
-31;-2;38;1;1
-26;-10;37;1;1
-25;-9;33;0;1
-39;-10;30;1;1
-41;-1;24;1;1
-19;-11;27;0;1
-28;-4;20;0;1
-23;0;18;1;1
-37;-6;27;1;1
-23;-7;22;1;1
-15;-5;25;1;1
-33;6;26;0;1
-34;-8;37;0;1
-29;-8;26;1;1
-37;12;35;0;1
-36;-5;13;0;1
-39;6;30;0;1
-14;10;33;0;1
-41;-6;26;1;1
-32;-9;37;1;1
-36;-5;12;0;1
